time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
1.886,0.0,0,0.0,0,0,0,0
1.892,0.0,90.0,0.0,0,0,12,0
1.897,0.0,90.0,0.0,0,0,21.608500456130074,0
1.9,3.16,90.0,0.0,0,122,21.69575269780327,301
1.906,8.43,90.0,0.0,0,258,21.745137142177708,378
1.917,15.82,90.0,0.0,0,351,19.605655403354703,367
1.93,41.83,90.0,0.0,0,581,17.20951546473798,358
1.942,81.21,90.0,0.0,0,803,15.507475554499877,316
1.951,171.03,90.0,0.0,0,1126,10.939642208185528,277
1.959,231.15,90.0,0.0,0,1284,6.046307088880232,260
1.967,306.03,90.0,0.0,0,1375,-2.0691186600438307,129
1.976,384.43,90.0,0.0,0,1379,-6.634134219902428,3
1.986,446.3,90.0,0.0,0,1278,-10.523461719519698,199
1.992,504.84000000000003,90.0,0.0,0,1096,-13.068560099533407,304
2.009,556.17,90.0,0.0,0,852,-13.418888985557775,385
2.019,596.0699999999999,90.0,0.0,0,562,-12.406617489444347,421
2.028,627.71,90.0,0.0,0,121,-10.657698187411874,376
2.036,628.4100000000001,90.0,0.0,0,-32,-7.366116708396071,325
2.045,619.27,90.0,0.0,0,-233,-1.3823018139755714,257
2.053,603.8,90.0,0.0,0,-347,0.6406621011121363,153
2.063,583.76,90.0,0.0,0,-345,3.69725573722085,1
2.071,568.65,90.0,0.0,0,-313,5.518273235909739,50
2.078,553.53,90.0,0.0,0,-249,5.424436151500532,119
2.085,542.98,90.0,0.0,0,-139,4.761978028424226,156
2.089,538.59,90.0,0.0,0,-69,3.564281264824782,144
2.095,537.71,90.0,0.0,0,-45,1.6490569943596878,122
2.102,537.71,90.0,0.0,0,17,0.3183531455695743,86
2.114,538.59,90.0,0.0,0,22,-0.5019687596332449,33
2.123,540.17,90.0,0.0,0,30,-2.0611130624553446,2
2.13,541.9300000000001,90.0,0.0,0,23,-2.9735200393402987,14
2.134,542.1,90.0,0.0,0,-15,-3.648933357242285,50
2.138,541.23,90.0,0.0,0,-11,-3.949931513177873,67
2.148,540.17,90.0,0.0,0,-50,-3.4856379288344517,83
2.161,537.53,90.0,0.0,0,-81,-3.9041357055647996,88
2.171,528.75,90.0,0.0,0,-146,-3.9444698428378295,68
2.179,515.21,90.0,0.0,0,-216,-4.015785109238972,72
2.183,503.08000000000004,90.0,0.0,0,-251,-3.1986084837238593,69
2.192,491.83000000000004,90.0,0.0,0,-291,-2.0312030779058983,67
2.201,483.57,90.0,0.0,0,-306,-1.3791379864138342,42
2.211,464.40999999999997,90.0,0.0,0,-313,-0.879093096351423,9
2.22,446.83,90.0,0.0,0,-306,-0.9882960471596931,0
2.228,423.1,90.0,0.0,0,-302,-0.8571713393441334,6
2.237,411.67,90.0,0.0,0,-303,-0.886504678281681,4
2.248,399.9,90.0,0.0,0,-297,-0.6252732118454856,6
2.258,381.79,90.0,0.0,0,-293,-0.7355466789977063,5
2.269,363.69,90.0,0.0,0,-286,-0.9852294762580707,8
2.273,340.48,90.0,0.0,0,-276,-0.9979348220134674,6
2.277,330.82,90.0,0.0,0,-275,-0.9591624901199358,2
2.281,323.96,90.0,0.0,0,-275,-0.6320645103656426,2
2.288,317.46,90.0,0.0,0,-275,-0.516832923167752,3
2.294,309.55,90.0,0.0,0,-271,-0.45740919338232233,7
2.303,296.36,90.0,0.0,0,-266,-0.5288074086117134,8
2.312,288.63,90.0,0.0,0,-261,-0.531671181639455,9
2.323,275.44,90.0,0.0,0,-257,-0.5109079711628455,8
2.33,253.47,90.0,0.0,0,-246,-0.7119120757761129,7
2.341,246.09,90.0,0.0,0,-243,-0.6230204757874505,7
2.348,230.62,90.0,0.0,0,-239,-0.4335824961728204,4
2.36,217.61,90.0,0.0,0,-236,-0.476067910795824,5
2.371,207.77,90.0,0.0,0,-230,-0.2552168285137316,7
2.376,186.85,90.0,0.0,0,-221,-0.17799897569421264,6
2.385,178.94,90.0,0.0,0,-219,-0.15684883579035702,8
2.396,172.61,90.0,0.0,0,-215,0.20938548445602223,8
2.404,159.96,90.0,0.0,0,-208,0.2699732299420079,8
2.413,147.3,90.0,0.0,0,-190,0.24999034583665392,22
2.421,137.1,90.0,0.0,0,-173,0.38049438667247104,23
2.43,128.84,90.0,0.0,0,-159,0.3550848527025543,20
2.438,122.51,90.0,0.0,0,-146,0.29711418177860094,22
2.446,114.25,90.0,0.0,0,-131,0.2295864568644046,20
2.454,108.1,90.0,0.0,0,-117,0.14378428315079428,17
2.466,103.0,90.0,0.0,0,-108,0.08890920722514495,15
2.47,95.97,90.0,0.0,0,-96,-0.008138623827058655,10
2.474,92.28,90.0,0.0,0,-89,-0.039126016013829146,9
2.483,90.17,90.0,0.0,0,-87,-0.05601457952320099,6
2.493,87.53,90.0,0.0,0,-83,-0.07680008354689938,6
2.502,82.61,90.0,0.0,0,-79,-0.05356419648439226,5
2.511,78.92,90.0,0.0,0,-74,-0.04723804081134397,4
2.515,72.94,90.0,0.0,0,-68,0.030147276758391905,4
2.519,71.54,90.0,0.0,0,-67,0.05448713371677072,5
2.526,69.96,90.0,0.0,0,-63,0.12477937345524959,6
2.536,68.37,90.0,0.0,0,-61,0.15610234962024916,6
2.55,65.21,90.0,0.0,0,-56,0.15544925284586997,5
2.56,62.22,90.0,0.0,0,-51,0.194333741789811,5
2.564,58.0,90.0,0.0,0,-44,0.2461191431495151,4
2.568,56.25,90.0,0.0,0,-40,0.26892078468913594,5
2.577,55.37,90.0,0.0,0,-38,0.28625559244460574,6
2.586,54.31,90.0,0.0,0,-33,0.2838519031422375,7
2.594,52.38,90.0,0.0,0,-28,0.326081326139255,6
2.605,51.5,90.0,0.0,0,-21,0.3033307303942243,6
2.613,50.44,90.0,0.0,0,-17,0.3168400209922495,7
2.622,50.09,90.0,0.0,0,-12,0.27342850908672034,6
2.631,49.74,90.0,0.0,0,-11,0.2771628947936329,6
2.642,49.74,90.0,0.0,0,-5,0.2445724623677059,4
2.655,50.09,90.0,0.0,0,5,0.3032638245878817,4
2.667,50.62,90.0,0.0,0,5,0.260940004684726,3
2.678,51.15,90.0,0.0,0,5,0.1449970578844867,4
2.687,51.85,90.0,0.0,0,9,0.18985797014994132,2
2.695,52.73,90.0,0.0,0,10,0.25544060838248905,0
2.699,53.08,90.0,0.0,0,10,0.19890746554334815,0
2.703,53.43,90.0,0.0,0,9,0.19338963728823544,3
2.707,53.78,90.0,0.0,0,9,0.20403509515274254,1
2.711,53.96,90.0,0.0,0,9,0.23169488913476044,1
2.721,54.31,90.0,0.0,0,10,0.24209401691230092,1
2.729,54.66,90.0,0.0,0,10,0.27173444041703654,2
2.738,55.19,90.0,0.0,0,10,0.27929889070890046,2
2.751,55.89,90.0,0.0,0,12,0.3133724128731488,3
2.758,56.95,90.0,0.0,0,15,0.34673840518677884,3
2.768,58.0,90.0,0.0,0,16,0.34457458061281454,4
2.777,58.71,90.0,0.0,0,18,0.2957091356133261,4
2.788,59.94,90.0,0.0,0,20,0.2979692161883453,3
