time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.346,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.552,0.0,90.0,0.0,0,0,11.9,0,31989.597824061562,0.0,1999.9999999999998,90.0
2.558,0.0,90.0,0.0,0,0,11.8,18496,-676509.9166077944,231449.15288471495,1999.9999999999998,90.0
2.562,0.0,90.0,0.0,0,0,11.700000000000001,18496,-1451654.1017135351,112926.85829978414,1999.9999999999998,90.0
2.566,0.0,90.0,0.0,0,0,11.600000000000001,18496,-1595891.3613655155,51089.49858387198,1999.9999999999998,90.0
2.571,0.0,90.0,0.0,0,0,11.500000000000002,18496,-1589964.485030696,3934.941960780643,1999.9999999999998,90.0
2.576,0.0,90.0,0.0,0,0,11.400000000000002,18496,-1455720.875171517,-42464.55598957147,1999.9999999999998,90.0
2.583,0.0,90.0,0.0,0,0,11.300000000000002,18496,-1173585.2252791203,-75778.25496860595,1999.9999999999998,90.0
2.59,0.0,90.0,0.0,0,0,11.200000000000003,18496,-653605.2110654666,-95055.6912017537,1999.9999999999998,90.0
2.596,0.0,90.0,0.0,0,0,11.100000000000003,18496,-226610.81684471297,-83139.16948597983,1999.9999999999998,90.0
2.604,0.0,90.0,0.0,0,0,11.000000000000004,18496,61684.875217193665,-62505.73671496566,1999.9999999999998,90.0
2.608,0.0,90.0,0.0,0,0,10.900000000000004,18496,333921.5864149465,-29477.61737876827,1999.9999999999998,90.0
2.611,0.0,90.0,0.0,0,0,10.800000000000004,18496,375547.6594206496,-14252.358901766625,1999.9999999999998,90.0
2.616,0.0,90.0,0.0,0,0,10.700000000000005,18496,378748.20592999755,-3429.008793670066,1999.9999999999998,90.0
2.62,0.0,90.0,0.0,0,0,10.600000000000005,18496,355636.60014860326,7403.52436082908,1999.9999999999998,90.0
2.625,0.0,90.0,0.0,0,0,10.500000000000005,18496,311322.7120194215,14179.911041407811,1999.9999999999998,90.0
2.632,0.0,90.0,0.0,0,0,10.400000000000006,18496,198111.84697613757,22304.198933996187,1999.9999999999998,90.0
2.636,0.0,90.0,0.0,0,0,10.300000000000006,18496,121579.69630015947,21524.324861273064,1999.9999999999998,90.0
2.644,0.0,90.0,0.0,0,0,10.200000000000006,18496,51420.37425844747,18729.818367684453,1999.9999999999998,90.0
2.648,0.0,90.0,0.0,0,0,10.100000000000007,18496,-30975.28844310849,12837.841366194603,1999.9999999999998,90.0
2.652,0.0,90.0,0.0,0,0,10.000000000000007,18496,-57979.064836880345,8932.425989502945,1999.9999999999998,90.0
2.656,0.0,90.0,0.0,0,0,9.900000000000007,18496,-72368.74677312806,5681.900650817961,1999.9999999999998,90.0
2.66,0.0,90.0,0.0,0,0,9.800000000000008,18496,-79927.50979327853,2444.5115314689833,1999.9999999999998,90.0
2.664,0.0,90.0,0.0,0,0,9.700000000000008,18496,-79249.55482175677,-136.05930223790256,1999.9999999999998,90.0
2.669,0.0,90.0,0.0,0,0,9.600000000000009,18496,-73174.82384640894,-1888.9654863145734,1999.9999999999998,90.0
2.676,0.0,90.0,0.0,0,0,9.500000000000009,18496,-58482.62452530778,-3794.7566732226105,1999.9999999999998,90.0
2.682,0.0,90.0,0.0,0,0,9.40000000000001,18496,-36811.727273178694,-4583.422330621739,1999.9999999999998,90.0
2.689,0.0,90.0,0.0,0,0,9.30000000000001,18496,-13965.434485509386,-4186.792462851168,1999.9999999999998,90.0
2.693,0.0,90.0,0.0,0,0,9.20000000000001,18496,2004.4479110507764,-3164.6982715140707,1999.9999999999998,90.0
2.697,0.0,90.0,0.0,0,0,9.10000000000001,18496,7831.95497988431,-2495.710438987741,1999.9999999999998,90.0
2.703,0.0,90.0,0.0,0,0,9.00000000000001,18496,13366.987322132885,-1642.0838259608788,1999.9999999999998,90.0
2.709,0.0,90.0,0.0,0,0,8.900000000000011,18496,17719.981030560495,-517.5620475845511,1999.9999999999998,90.0
2.714,0.0,90.0,0.0,0,0,8.800000000000011,18496,17556.681904704805,343.2815831577808,1999.9999999999998,90.0
2.719,0.0,90.0,0.0,0,0,8.700000000000012,18496,15343.98737860834,707.7946500288336,1999.9999999999998,90.0
2.725,0.0,90.0,0.0,0,0,8.600000000000012,18496,10624.764563829323,1049.1223251106073,1999.9999999999998,90.0
2.73,0.0,90.0,0.0,0,0,8.500000000000012,18496,6947.754288345325,1048.874196768266,1999.9999999999998,90.0
2.734,0.0,90.0,0.0,0,0,8.400000000000013,18496,3895.9074635596976,954.0219939906835,1999.9999999999998,90.0
2.738,0.0,90.0,0.0,0,0,8.300000000000013,18496,816.3869363217141,775.8584030283554,1999.9999999999998,90.0
2.742,0.0,90.0,0.0,0,0,8.200000000000014,18496,-746.1713932743905,625.2211447032747,1999.9999999999998,90.0
2.748,0.0,90.0,0.0,0,0,8.100000000000014,18496,-2158.8853088677106,439.4600912426237,1999.9999999999998,90.0
2.755,0.0,90.0,0.0,0,0,8.000000000000014,18496,-3210.3747307155927,220.67579297221994,1999.9999999999998,90.0
2.758,0.0,90.0,0.0,0,0,7.900000000000015,18496,-3500.4796439899624,16.078686752047766,1999.9999999999998,90.0
2.762,0.0,90.0,0.0,0,0,7.800000000000015,18496,-3216.045154457073,-66.90628060998606,1999.9999999999998,90.0
2.768,0.0,90.0,0.0,0,0,7.700000000000015,18496,-2736.321360021667,-129.4235386686424,1999.9999999999998,90.0
2.775,0.0,90.0,0.0,0,0,7.600000000000016,18496,-1932.4580065505374,-177.48104572360984,1999.9999999999998,90.0
2.779,0.0,90.0,0.0,0,0,7.500000000000016,18496,-803.6711338940831,-183.3305361265407,1999.9999999999998,90.0
2.783,0.0,90.0,0.0,0,0,7.400000000000016,18496,-272.2989099765612,-158.62761797270207,1999.9999999999998,90.0
2.787,0.0,90.0,0.0,0,0,7.300000000000017,18496,196.08378624619849,-125.00760940423073,1999.9999999999998,90.0
2.791,0.0,90.0,0.0,0,0,7.200000000000017,18496,503.21575898760693,-92.64341324627935,1999.9999999999998,90.0
2.798,0.0,90.0,0.0,0,0,7.100000000000017,18496,737.3687558702079,-58.17915845937004,1999.9999999999998,90.0
2.804,0.0,90.0,0.0,0,0,7.000000000000018,18496,972.3389764748156,-3.918191904184218,1999.9999999999998,90.0
2.808,0.0,90.0,0.0,0,0,6.900000000000018,18496,965.3897468095444,34.30103062041138,1999.9999999999998,90.0
2.813,0.0,90.0,0.0,0,0,6.8000000000000185,18496,887.2352603399136,46.93654268432318,1999.9999999999998,90.0
2.82,0.0,90.0,0.0,0,0,6.700000000000019,18496,728.483496885592,60.53102183032649,1999.9999999999998,90.0
2.824,0.0,90.0,0.0,0,0,6.600000000000019,18496,498.7252795303629,65.22830338397135,1999.9999999999998,90.0
