time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.427,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.633,0.0,90.0,0.0,0,0,0,0,830.4504055755082,0.0,1999.9999999999998,90.0
2.637,0.0,90.0,0.0,0,0,0.3092897967459151,0,-6001.902111928538,6008.798634365224,1999.9999999999998,90.0
2.646,0.0,90.0,0.0,0,0,0.9702204763886741,0,-23121.277374294834,3997.387514515297,1999.9999999999998,90.0
2.656,0.0,90.0,0.0,0,0,-24,5,-47384.64439398802,-182.65468109085236,1999.9999999999998,90.0
2.662,0.52,90.0,0.0,0,0,-24,20,-42331.80731474154,-2860.8936301708127,1999.9999999999998,90.0
2.67,-7.91,90.0,0.0,0,-256,-24,400,-28931.009387277016,-3175.9561948403652,1999.9999999999998,90.0
2.681,-20.91,90.0,0.0,0,-424,-23.549718133488284,380,-10338.709330722435,-2773.8053516820205,1999.9999999999998,90.0
2.687,-46.75,90.0,0.0,0,-640,-11.801693930027959,354,10278.749436166392,-1335.8862638922658,1999.9999999999998,90.0
2.691,-97.03,90.0,0.0,0,-897,1.6133496926093915,321,14081.668558770261,-584.9637165618088,1999.9999999999998,90.0
2.698,-125.15,90.0,0.0,0,-983,13.080683883154935,211,15121.134362564932,-11.851254907388178,1999.9999999999998,90.0
2.703,-152.4,90.0,0.0,0,-956,13.526728297570035,154,13773.386465151485,578.7348287967038,1999.9999999999998,90.0
2.707,-187.03,90.0,0.0,0,-702,12.384476571476052,448,11026.224252728145,724.2266168572681,1999.9999999999998,90.0
2.714,-204.43,90.0,0.0,0,-557,9.28226371192669,451,8548.133005105117,730.8907455438743,1999.9999999999998,90.0
2.724,-215.15,90.0,0.0,0,-449,6.595889056346946,398,592.8469948342021,558.6743770615411,1999.9999999999998,90.0
2.731,-237.3,90.0,0.0,0,-204,4.600748597460237,278,-2398.7681086857438,260.8244042281534,1999.9999999999998,90.0
2.735,-242.57,90.0,0.0,0,-122,-1.1387952556624128,190,-4564.878029833117,-87.80755469498501,1999.9999999999998,90.0
2.74,-245.39,90.0,0.0,0,-47,-2.4961550774597248,125,-4832.048134674772,-246.08089167115216,1999.9999999999998,90.0
2.744,-246.44,90.0,0.0,0,-35,-3.0220049733578147,20,-4665.513699037794,-366.6494643770963,1999.9999999999998,90.0
2.748,-247.5,90.0,0.0,0,-42,-2.6907229237699584,54,-4201.54651195913,-443.626093796054,1999.9999999999998,90.0
2.758,-248.9,90.0,0.0,0,-73,-2.143842813277838,66,-3365.4389554579584,-501.52313688584354,1999.9999999999998,90.0
2.768,-251.54,90.0,0.0,0,-85,-1.5100508940128536,54,-1517.3901747620444,-523.9015993989881,1999.9999999999998,90.0
2.773,-257.34,90.0,0.0,0,-109,-0.6456515825500495,36,334.7513499245305,-427.2623014475431,1999.9999999999998,90.0
