time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.354,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.559,0.0,90.0,0.0,0,0,0,0,9747.87139892578,0.0,1999.9999999999998,90.0
2.563,0.0,90.0,0.0,0,0,3.602359576116296,0,-151479.82966398826,70516.21991151113,1999.9999999999998,90.0
2.568,0.0,90.0,0.0,0,0,24,0,-286147.6821980522,51723.70283845161,1999.9999999999998,90.0
2.571,0.17,90.0,0.0,0,0,-24,85,-405375.6050967304,27542.08927198107,1999.9999999999998,90.0
2.576,3.33,90.0,0.0,0,155,-24,393,-428271.4428657071,15693.40741650318,1999.9999999999998,90.0
2.579,4.57,90.0,0.0,0,65,-24,418,-431780.619172849,-617.9220828098116,1999.9999999999998,90.0
2.584,3.69,90.0,0.0,0,-20,-24,416,-398362.81690882274,-10555.211866922828,1999.9999999999998,90.0
2.592,1.23,90.0,0.0,0,-127,-24,402,-323949.7992945828,-20124.184092726868,1999.9999999999998,90.0
2.596,-5.97,90.0,0.0,0,-298,-24,385,-194960.09418669663,-25397.81327031123,1999.9999999999998,90.0
2.6,-23.73,90.0,0.0,0,-490,-24,361,-133383.87103567994,-24125.82721251094,1999.9999999999998,90.0
2.606,-34.45,90.0,0.0,0,-578,-24,368,-57832.34256628608,-21024.46531342745,1999.9999999999998,90.0
2.612,-52.55,90.0,0.0,0,-694,-24,339,20997.16062667804,-15384.53312730804,1999.9999999999998,90.0
2.617,-80.15,90.0,0.0,0,-831,-24,321,76325.99693458983,-8386.948691212478,1999.9999999999998,90.0
2.625,-116.19,90.0,0.0,0,-976,24,303,93822.83622047566,-3299.3318617852133,1999.9999999999998,90.0
2.628,-148.71,90.0,0.0,0,-1081,24,291,94280.88053349764,2183.843615663723,1999.9999999999998,90.0
2.635,-186.5,90.0,0.0,0,-787,24,505,85743.42426530144,3357.9406525865793,1999.9999999999998,90.0
2.641,-199.16,90.0,0.0,0,-748,24,500,61865.68581006602,5336.554406138902,1999.9999999999998,90.0
2.645,-224.29,90.0,0.0,0,-508,24,475,35022.87765887981,5553.142085824215,1999.9999999999998,90.0
2.649,-239.41,90.0,0.0,0,-317,24,448,20320.94692060626,5021.33116346711,1999.9999999999998,90.0
2.653,-244.68,90.0,0.0,0,-183,24,433,6050.148922738346,4172.263820183494,1999.9999999999998,90.0
2.662,-247.85,90.0,0.0,0,-87,24,418,-9655.553541656845,2760.66337186451,1999.9999999999998,90.0
2.665,-246.26,90.0,0.0,0,106,19.314898394056794,397,-20552.248825168874,1092.0513967235956,1999.9999999999998,90.0
2.669,-237.12,90.0,0.0,0,306,-21.473595044074997,375,-21846.0054614512,461.44644162462606,1999.9999999999998,90.0
