time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.35,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.555,0.0,90.0,0.0,0,0,0,0,40334.24520823546,0.0,1999.9999999999998,90.0
2.56,0.52,90.0,0.0,0,849,14.988838015047444,5,-956416.1439148481,291625.6330722828,1999.9999999999998,90.0
2.565,549.14,90.0,0.0,0,0,-24,0,-1719259.8479491484,170159.38256300378,1999.9999999999998,90.0
2.568,551.0699999999999,90.0,0.0,0,102,24,387,-1996485.3488678234,79956.59684383808,1999.9999999999998,90.0
2.577,551.25,90.0,0.0,0,-54,24,413,-2022178.0169965848,16388.625301946628,1999.9999999999998,90.0
2.585,553.35,90.0,0.0,0,157,24,394,-1720884.0848988043,-115819.1010331441,1999.9999999999998,90.0
2.589,568.8199999999999,90.0,0.0,0,367,24,370,-1057783.5660132887,-137522.73848531165,1999.9999999999998,90.0
2.599,587.1,90.0,0.0,0,541,24,349,-536954.9007928796,-126717.31427496146,1999.9999999999998,90.0
2.606,606.62,90.0,0.0,0,673,24,334,214777.75854856626,-85650.84307963218,1999.9999999999998,90.0
2.61,649.1600000000001,90.0,0.0,0,883,24,309,516565.3192917588,-41705.45387705088,1999.9999999999998,90.0
2.618,687.65,90.0,0.0,0,1026,-24,292,596929.6205263587,-9403.850027794422,1999.9999999999998,90.0
2.622,724.92,90.0,0.0,0,1144,-24,279,559997.0529898033,17459.413627503716,1999.9999999999998,90.0
2.627,761.13,90.0,0.0,0,860,-24,523,478760.8684631313,26826.780956197395,1999.9999999999998,90.0
2.634,781.34,90.0,0.0,0,773,-24,515,369895.5381045793,32651.92919660766,1999.9999999999998,90.0
2.645,800.33,90.0,0.0,0,626,-24,496,154072.4163907889,35053.31247397179,1999.9999999999998,90.0
2.651,824.76,90.0,0.0,0,340,-24,460,-73710.73472693647,23316.510005402502,1999.9999999999998,90.0
2.655,834.96,90.0,0.0,0,64,-24,423,-135878.2204700445,13377.340276202445,1999.9999999999998,90.0
2.661,832.85,90.0,0.0,0,-119,24,403,-152449.6592762307,7529.226185151225,1999.9999999999998,90.0
2.669,828.45,90.0,0.0,0,-243,24,390,-159649.51534760022,-3945.2772465870294,1999.9999999999998,90.0
2.675,825.99,90.0,0.0,0,-18,24,416,-125882.4788396121,-7811.402319075854,1999.9999999999998,90.0
2.683,828.28,90.0,0.0,0,119,24,396,-75071.82487391465,-9395.105336128952,1999.9999999999998,90.0
2.687,838.47,90.0,0.0,0,333,24,374,-24708.263794282826,-8214.430370638856,1999.9999999999998,90.0
2.693,856.23,90.0,0.0,0,519,24,350,-191.51922216067427,-6476.4642559311615,1999.9999999999998,90.0
2.699,870.99,90.0,0.0,0,613,24,340,22607.972299444657,-4077.1095843791454,1999.9999999999998,90.0
2.704,893.3199999999999,90.0,0.0,0,746,24,328,39186.38596534644,-966.2354172472739,1999.9999999999998,90.0
2.712,929.17,90.0,0.0,0,907,-24,307,40684.82551434582,1102.2564533045959,1999.9999999999998,90.0
2.719,963.63,90.0,0.0,0,1032,-24,292,34426.82619603261,2670.166700376801,1999.9999999999998,90.0
2.725,996.6700000000001,90.0,0.0,0,729,-24,507,23934.60175672269,3310.4712285471096,1999.9999999999998,90.0
2.728,1022.51,90.0,0.0,0,598,-24,493,12575.372315551707,3328.4659496199156,1999.9999999999998,90.0
2.736,1040.8,90.0,0.0,0,381,-24,465,7801.657948726912,3135.878837901759,1999.9999999999998,90.0
2.741,1046.77,90.0,0.0,0,295,-24,454,-3773.2693896370606,2466.7575356220914,1999.9999999999998,90.0
2.746,1054.51,90.0,0.0,0,79,-24,427,-7022.046799665159,1963.479495398842,1999.9999999999998,90.0
2.753,1053.45,90.0,0.0,0,-54,14.160848305898273,410,-8707.009632912053,1464.3398816400975,1999.9999999999998,90.0
2.757,1048.0,90.0,0.0,0,-248,24,389,-8805.311107852447,892.9830452502422,1999.9999999999998,90.0
2.761,1045.01,90.0,0.0,0,-26,24,383,-7555.286047531521,718.1765432285038,1999.9999999999998,90.0
2.765,1044.84,90.0,0.0,0,40,24,407,-5980.087941213805,613.7818883532378,1999.9999999999998,90.0
2.77,1047.48,90.0,0.0,0,149,24,392,-4501.995053918479,579.1991800798692,1999.9999999999998,90.0
2.774,1052.05,90.0,0.0,0,257,24,417,-2436.1169271763397,586.660022010913,1999.9999999999998,90.0
2.778,1062.07,90.0,0.0,0,395,24,368,-950.9526200154436,642.3965948740345,1999.9999999999998,90.0
2.782,1073.1399999999999,90.0,0.0,0,502,24,383,230.8668827919869,725.6861230031408,1999.9999999999998,90.0
2.787,1087.03,90.0,0.0,0,605,10.942621159909239,341,857.1638065925132,810.4047926512709,1999.9999999999998,90.0
2.793,1101.97,90.0,0.0,0,698,-12.018736918132916,331,1282.1687253591422,917.0358261207444,1999.9999999999998,90.0
2.8,1123.41,90.0,0.0,0,778,-24,200,1457.34099422338,1038.7480236397562,1999.9999999999998,90.0
