time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.347,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.556,0.0,90.0,0.0,0,0,0,0,64447.53017702067,0.0,1999.9999999999998,90.0
2.562,0.0,90.0,0.0,0,0,24,0,-1494489.5020862883,467376.1223655711,1999.9999999999998,90.0
2.566,0.0,90.0,0.0,0,0,-24,0,-2757549.735163812,268227.1217463012,1999.9999999999998,90.0
2.57,2.63,90.0,0.0,0,124,-24,397,-3192547.189650713,124665.23536973029,1999.9999999999998,90.0
2.577,3.69,90.0,0.0,0,46,24,420,-3230677.723882037,18243.260488023596,1999.9999999999998,90.0
2.583,2.63,90.0,0.0,0,-24,24,411,-2818279.6421156484,-145334.48089400615,1999.9999999999998,90.0
2.591,4.92,90.0,0.0,0,102,24,402,-2031198.204043524,-191783.50825015095,1999.9999999999998,90.0
2.595,11.77,90.0,0.0,0,260,24,383,-947312.8989395354,-195617.32517222007,1999.9999999999998,90.0
2.603,27.94,90.0,0.0,0,455,24,360,-193134.41894584752,-159424.2103175838,1999.9999999999998,90.0
2.613,46.93,90.0,0.0,0,614,24,342,465570.4386475623,-99863.25519741335,1999.9999999999998,90.0
2.621,76.11,90.0,0.0,0,774,24,325,891391.0925398465,-21068.271342636457,1999.9999999999998,90.0
2.632,122.87,90.0,0.0,0,973,24,300,822712.7971187594,67704.26810206848,1999.9999999999998,90.0
2.636,212.51,90.0,0.0,0,1245,-24,267,513520.9941403001,72412.7652443048,1999.9999999999998,90.0
2.642,256.46,90.0,0.0,0,1348,-24,256,311360.2743491626,67217.28139528891,1999.9999999999998,90.0
2.649,284.58,90.0,0.0,0,1079,-24,551,37703.067067152326,53541.31960530101,1999.9999999999998,90.0
2.658,323.08,90.0,0.0,0,982,-24,540,-178948.64396026917,32527.632033448772,1999.9999999999998,90.0
2.666,358.76,90.0,0.0,0,731,-24,510,-312901.5730809297,5130.832427335947,1999.9999999999998,90.0
2.674,389.35,90.0,0.0,0,416,24,471,-283806.8479812336,-13733.418089789198,1999.9999999999998,90.0
2.683,403.24,90.0,0.0,0,147,24,438,-175748.2259214782,-20474.499041427534,1999.9999999999998,90.0
2.689,418.88,90.0,0.0,0,328,24,374,-45947.71544635505,-18648.666559208617,1999.9999999999998,90.0
2.693,440.85,90.0,0.0,0,529,24,353,31492.79863227201,-12836.589799280055,1999.9999999999998,90.0
2.702,464.94,90.0,0.0,0,698,24,331,61335.03880673014,-8588.01492115481,1999.9999999999998,90.0
2.709,484.27,90.0,0.0,0,795,24,321,99428.63995859105,107.19948703510568,1999.9999999999998,90.0
2.714,535.42,90.0,0.0,0,1000,24,296,89198.35783699989,3971.7968433735546,1999.9999999999998,90.0
2.721,575.33,90.0,0.0,0,1131,24,281,71184.21519408074,5598.685975002024,1999.9999999999998,90.0
2.731,610.66,90.0,0.0,0,1226,24,269,29982.190655567385,6800.655343702549,1999.9999999999998,90.0
2.739,689.06,90.0,0.0,0,1407,24,248,1774.4173531786057,5428.921534556037,1999.9999999999998,90.0
2.746,750.76,90.0,0.0,0,1526,24,234,-19238.31065691768,3249.025479530637,1999.9999999999998,90.0
2.75,825.46,90.0,0.0,0,1654,24,219,-26251.50678545127,1370.5061941905149,1999.9999999999998,90.0
2.754,897.36,90.0,0.0,0,1762,24,207,-25194.33561703452,554.6198850642579,1999.9999999999998,90.0
2.76,943.06,90.0,0.0,0,1816,24,199,-22592.52907683485,91.12881047111557,1999.9999999999998,90.0
2.766,982.44,90.0,0.0,0,1866,24,194,-17213.20990750386,-372.73435923199156,1999.9999999999998,90.0
2.772,1045.8899999999999,90.0,0.0,0,1947,24,185,-9646.71675718484,-509.5305076756947,1999.9999999999998,90.0
2.778,1124.82,90.0,0.0,0,2028,24,175,-3423.474907037672,-306.0589428411732,1999.9999999999998,90.0
2.783,1192.5,90.0,0.0,0,2093,24,171,3223.6745570124813,167.75474168426942,1999.9999999999998,90.0
2.787,1284.25,90.0,0.0,0,2175,24,157,5788.893914430649,532.6127416574072,1999.9999999999998,90.0
2.792,1342.96,90.0,0.0,0,2224,24,153,7216.089270787547,843.2200263538418,1999.9999999999998,90.0
2.8,1394.82,90.0,0.0,0,2264,24,146,8427.242762066118,1291.674120650303,1999.9999999999998,90.0
2.808,1478.67,90.0,0.0,0,2329,24,139,7981.614202054706,1800.9131437576355,1999.9999999999998,90.0
2.812,1606.46,90.0,0.0,0,2412,24,130,6397.238736262545,1959.2711344322456,1999.9999999999998,90.0
2.82,1687.32,90.0,0.0,0,2461,24,124,5085.7644094090665,2041.4773353515889,1999.9999999999998,90.0
2.824,1760.09,90.0,0.0,0,2501,24,119,3286.5768131254054,2107.223698013803,1999.9999999999998,90.0
2.832,1871.54,90.0,0.0,0,2560,24,112,2141.1445055624527,2099.5312589789637,1999.9999999999998,90.0
2.842,1956.79,90.0,0.0,0,2605,24,107,1115.0281478114223,2090.633515198357,1999.9999999999998,90.0
2.849,2095.48,90.0,0.0,0,2663,24,99,777.9862589992592,2079.581416675229,1999.9999999999998,90.0
2.853,2218.18,90.0,0.0,0,2714,24,92,1119.6136288409273,2120.182703524564,1999.9999999999998,90.0
2.86,2337.01,90.0,0.0,0,2762,24,88,1659.406577013215,2198.353655067663,1999.9999999999998,90.0
2.868,2440.37,90.0,0.0,0,2803,24,84,2169.471693119477,2291.864352602172,1999.9999999999998,90.0
2.874,2525.09,90.0,0.0,0,2823,24,81,2950.662779531589,2471.058818493697,1999.9999999999998,90.0
2.878,2665.19,90.0,0.0,0,2877,24,76,3100.6285061238723,2585.8989909582715,1999.9999999999998,90.0
2.883,2758.88,90.0,0.0,0,2900,24,70,3248.364284908791,2674.8758540878703,1999.9999999999998,90.0
2.891,2824.98,90.0,0.0,0,2931,24,71,3456.6967680068856,2807.156739340247,1999.9999999999998,90.0
2.898,2918.84,90.0,0.0,0,2949,24,65,3434.3996195694403,2975.6905635758326,1999.9999999999998,90.0
2.906,3057.01,90.0,0.0,0,2981,24,63,3077.8797200880686,3111.798002439605,1999.9999999999998,90.0
2.91,3199.39,90.0,0.0,0,3016,24,60,2792.0403464362184,3229.0184894723916,1999.9999999999998,90.0
2.915,3340.72,90.0,0.0,0,3041,24,56,2739.9990857117086,3274.4724416914582,1999.9999999999998,90.0
2.918,3395.21,90.0,0.0,0,3055,24,53,2944.4171534933994,3383.4409961990036,1999.9999999999998,90.0
2.922,3493.3,90.0,0.0,0,3083,24,51,2956.9604395591496,3449.343107497346,1999.9999999999998,90.0
2.926,3561.15,90.0,0.0,0,3092,24,50,3040.0713535605887,3528.0376957676876,1999.9999999999998,90.0
2.93,3631.64,90.0,0.0,0,3102,24,49,3091.3343185486374,3603.2776975564825,1999.9999999999998,90.0
2.938,3700.72,90.0,0.0,0,3110,24,48,3152.279126669954,3725.4230431241226,1999.9999999999998,90.0
2.943,3812.87,90.0,0.0,0,3127,24,44,3021.666430137483,3832.5529946465626,1999.9999999999998,90.0
2.948,3928.35,90.0,0.0,0,3152,24,45,2947.0710740930936,3912.1573422926704,1999.9999999999998,90.0
2.955,4017.3,90.0,0.0,0,3160,24,43,2976.7952034931086,4005.206023273326,1999.9999999999998,90.0
2.959,4112.57,90.0,0.0,0,3180,24,44,2997.166014290009,4128.910478607839,1999.9999999999998,90.0
2.964,4240.89,90.0,0.0,0,3193,24,42,2940.006521630263,4200.860517484427,1999.9999999999998,90.0
2.971,4322.1,90.0,0.0,0,3208,24,42,3051.3029995002867,4314.544941661591,1999.9999999999998,90.0
2.976,4430.74,90.0,0.0,0,3226,24,41,3044.904288439412,4441.203655266487,1999.9999999999998,90.0
2.984,4562.57,90.0,0.0,0,3243,24,38,2966.9319151660106,4565.391470226526,1999.9999999999998,90.0
2.988,4698.45,90.0,0.0,0,3262,24,38,2936.744653627069,4667.158077942156,1999.9999999999998,90.0
2.992,4813.41,90.0,0.0,0,3275,24,36,2991.5408283674797,4739.702424786268,1999.9999999999998,90.0
2.996,4884.43,90.0,0.0,0,3289,24,36,3178.766539202243,4850.767111782879,1999.9999999999998,90.0
3.0,4982.51,90.0,0.0,0,3305,24,35,3213.7744701161323,4915.330325073336,1999.9999999999998,90.0
3.005,5043.33,90.0,0.0,0,3312,24,35,3360.7282560921553,5030.418568733389,1999.9999999999998,90.0
3.01,5142.3,90.0,0.0,0,3315,24,34,3345.343943273536,5114.370588867892,1999.9999999999998,90.0
3.017,5220.52,90.0,0.0,0,3326,24,32,3371.934017076767,5230.248650170368,1999.9999999999998,90.0
3.02,5326.69,90.0,0.0,0,3326,24,31,3256.79542810912,5363.836627862652,1999.9999999999998,90.0
3.025,5466.09,90.0,0.0,0,3350,24,29,3160.6076666308454,5418.681772234425,1999.9999999999998,90.0
3.033,5526.91,90.0,0.0,0,3350,24,29,3287.3958526110137,5559.88871605638,1999.9999999999998,90.0
3.042,5656.99,90.0,0.0,0,3367,24,26,3060.3811650112284,5700.898064636879,1999.9999999999998,90.0
3.05,5820.64,90.0,0.0,0,3374,24,24,2821.8241934908892,5824.098385815941,1999.9999999999998,90.0
3.06,5978.67,90.0,0.0,0,3394,24,24,2798.9026199427894,5960.600409799251,1999.9999999999998,90.0
3.066,6146.36,90.0,0.0,0,3406,24,23,2897.5756154364353,6139.416590528985,1999.9999999999998,90.0
3.075,6350.09,90.0,0.0,0,3419,24,20,2907.5496157440266,6246.832521268288,1999.9999999999998,90.0
3.083,6475.78,90.0,0.0,0,3431,24,21,3395.171666224151,6452.579601754639,1999.9999999999998,90.0
3.091,6653.14,90.0,0.0,0,3434,24,18,3406.494209747807,6635.183566486086,1999.9999999999998,90.0
3.098,6827.16,90.0,0.0,0,3459,24,19,3391.681404072026,6807.726827513915,1999.9999999999998,90.0
3.102,6992.22,90.0,0.0,0,3459,24,17,3386.720603419157,6955.153678034047,1999.9999999999998,90.0
3.107,7134.6,90.0,0.0,0,3472,24,17,3426.7328875674557,7051.273927705406,1999.9999999999998,90.0
3.113,7222.67,90.0,0.0,0,3467,24,15,3566.4818919853637,7153.7959845407695,1999.9999999999998,90.0
3.119,7305.82,90.0,0.0,0,3467,24,16,3721.3375511667264,7318.656181168104,1999.9999999999998,90.0
3.124,7442.4,90.0,0.0,0,3482,24,14,3580.331318548892,7438.283392528994,1999.9999999999998,90.0
3.131,7557.18,90.0,0.0,0,3490,24,14,3508.0675894634933,7558.595326322055,1999.9999999999998,90.0
3.139,7672.5,90.0,0.0,0,3495,24,15,3386.3108971420197,7730.904816822483,1999.9999999999998,90.0
3.148,7844.94,90.0,0.0,0,3492,24,13,3010.271235508719,7871.379135515264,1999.9999999999998,90.0
3.156,8021.25,90.0,0.0,0,3500,24,12,2873.865949276361,7986.531400877842,1999.9999999999998,90.0
3.16,8168.02,90.0,0.0,0,3503,24,12,3016.8185323634643,8141.084504208327,1999.9999999999998,90.0
3.165,8335.72,90.0,0.0,0,3511,24,10,3063.6087128081645,8227.131500873857,1999.9999999999998,90.0
3.171,8427.3,90.0,0.0,0,3527,24,12,3336.288160621651,8348.218879321157,1999.9999999999998,90.0
3.177,8529.78,90.0,0.0,0,3527,24,10,3588.3557892748872,8530.909391896615,1999.9999999999998,90.0
3.181,8684.64,90.0,0.0,0,3527,24,9,3512.015913192609,8632.104520853403,1999.9999999999998,90.0
3.186,8784.84,90.0,0.0,0,3535,24,10,3569.7889281777266,8720.89767139593,1999.9999999999998,90.0
3.193,8862.01,90.0,0.0,0,3535,24,9,3699.2743604620923,8875.711265408214,1999.9999999999998,90.0
3.198,8991.91,90.0,0.0,0,3545,24,10,3534.1831347370257,9014.195297402552,1999.9999999999998,90.0
3.207,9129.19,90.0,0.0,0,3529,24,9,3416.9154284653127,9099.835899011206,1999.9999999999998,90.0
3.213,9220.42,90.0,0.0,0,3535,24,8,3457.4235543293785,9303.509482155334,1999.9999999999998,90.0
3.219,9415.01,90.0,0.0,0,3535,24,7,3097.324630564945,9397.244097843715,1999.9999999999998,90.0
3.226,9542.1,90.0,0.0,0,3537,24,9,3126.8068619199043,9543.093964633703,1999.9999999999998,90.0
3.235,9699.96,90.0,0.0,0,3543,24,8,3081.0289813574054,9661.04414867551,1999.9999999999998,90.0
3.243,9833.2,90.0,0.0,0,3543,24,9,3219.6865357089846,9838.280122814278,1999.9999999999998,90.0
3.251,10015.66,90.0,0.0,0,3559,24,7,3125.554634637665,9995.74935772201,1999.9999999999998,90.0
3.258,10191.62,90.0,0.0,0,3551,24,7,3165.5871875765815,10167.517339481878,1999.9999999999998,90.0
3.262,10375.48,90.0,0.0,0,3553,24,6,3206.7686848437966,10301.927261959709,1999.9999999999998,90.0
3.267,10514.53,90.0,0.0,0,3559,24,5,3344.653334152003,10399.251333411064,1999.9999999999998,90.0
3.273,10602.07,90.0,0.0,0,3553,24,6,3588.140407022444,10519.836725009134,1999.9999999999998,90.0
3.279,10697.69,90.0,0.0,0,3556,24,5,3835.3075259840266,10729.902666394346,1999.9999999999998,90.0
3.284,10867.14,90.0,0.0,0,3567,24,4,3661.4701465646012,10824.708979050569,1999.9999999999998,90.0
3.291,10965.41,90.0,0.0,0,3572,24,5,3704.016365594748,10970.25529097594,1999.9999999999998,90.0
