time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
1.894,0.0,0,0.0,0,0,0,0
3.209,0.0,0,0.0,0,0,0.0,0
3.22,0.0,0,0.0,0,0,0.0,0
3.227,0.0,0,0.0,0,0,0.0,0
3.236,0.0,0,0.0,0,0,0.0,0
3.243,0.0,0,0.0,0,0,0.0,0
3.251,0.0,0,0.0,0,0,0.0,0
3.257,0.0,0,0.0,0,0,0.0,0
3.265,0.0,0,0.0,0,0,0.0,0
3.272,0.0,0,0.0,0,0,0.0,0
3.282,0.0,0,0.0,0,0,0.0,0
3.292,0.0,0,0.0,0,0,0.0,0
3.297,0.0,0,0.0,0,0,0.0,0
3.305,0.0,0,0.0,0,0,0.0,0
3.315,0.0,0,0.0,0,0,0.0,0
3.326,0.0,0,0.0,0,0,0.0,0
3.334,0.0,0,0.0,0,0,0.0,0
3.341,0.0,0,0.0,0,0,0.0,0
3.345,0.0,0,0.0,0,0,0.0,0
3.354,0.0,0,0.0,0,0,0.0,0
3.363,0.0,0,0.0,0,0,0.0,0
3.37,0.0,0,0.0,0,0,0.0,0
3.379,0.0,0,0.0,0,0,0.0,0
3.386,0.0,0,0.0,0,0,0.0,0
3.394,0.0,0,0.0,0,0,0.0,0
3.403,0.0,0,0.0,0,0,0.0,0
3.412,0.0,0,0.0,0,0,0.0,0
3.419,0.0,0,0.0,0,0,0.0,0
3.428,0.0,0,0.0,0,0,0.0,0
3.435,0.0,0,0.0,0,0,0.0,0
3.441,0.0,0,0.0,0,0,0.0,0
3.444,0.0,0,0.0,0,0,0.0,0
3.452,0.0,0,0.0,0,0,0.0,0
3.46,0.0,0,0.0,0,0,0.0,0
3.468,0.0,0,0.0,0,0,0.0,0
3.477,0.0,0,0.0,0,0,0.0,0
3.485,0.0,0,0.0,0,0,0.0,0
3.488,0.0,0,0.0,0,0,0.0,0
3.493,0.0,0,0.0,0,0,0.0,0
3.502,0.0,0,0.0,0,0,0.0,0
3.51,0.0,0,0.0,0,0,0.0,0
3.52,0.0,0,0.0,0,0,0.0,0
3.526,0.0,0,0.0,0,0,0.0,0
3.533,0.0,0,0.0,0,0,0.0,0
3.54,0.0,0,0.0,0,0,0.0,0
3.548,0.0,0,0.0,0,0,0.0,0
3.558,0.0,0,0.0,0,0,0.0,0
3.569,0.0,0,0.0,0,0,0.0,0
3.579,0.0,0,0.0,0,0,0.0,0
3.583,0.0,0,0.0,0,0,0.0,0
3.587,0.0,0,0.0,0,0,0.0,0
3.592,0.0,0,0.0,0,0,0.0,0
3.601,0.0,0,0.0,0,0,0.0,0
3.609,0.0,0,0.0,0,0,0.0,0
3.62,0.0,0,0.0,0,0,0.0,0
3.628,0.0,0,0.0,0,0,0.0,0
3.633,0.0,0,0.0,0,0,0.0,0
3.64,0.0,0,0.0,0,0,0.0,0
3.646,0.0,0,0.0,0,0,0.0,0
3.654,0.0,0,0.0,0,0,0.0,0
3.663,0.0,0,0.0,0,0,0.0,0
3.674,0.0,0,0.0,0,0,0.0,0
3.682,0.0,0,0.0,0,0,0.0,0
3.688,0.0,0,0.0,0,0,0.0,0
3.694,0.0,0,0.0,0,0,0.0,0
3.702,0.0,0,0.0,0,0,0.0,0
3.714,0.0,0,0.0,0,0,0.0,0
3.722,0.0,0,0.0,0,0,0.0,0
3.73,0.0,0,0.0,0,0,0.0,0
3.742,0.0,0,0.0,0,0,0.0,0
3.751,0.0,0,0.0,0,0,0.0,0
3.761,0.0,0,0.0,0,0,0.0,0
3.771,0.0,0,0.0,0,0,0.0,0
3.775,0.0,0,0.0,0,0,0.0,0
3.786,0.0,0,0.0,0,0,0.0,0
3.793,0.0,0,0.0,0,0,0.0,0
3.802,0.0,0,0.0,0,0,0.0,0
3.809,0.0,0,0.0,0,0,0.0,0
3.817,0.0,0,0.0,0,0,0.0,0
3.827,0.0,0,0.0,0,0,0.0,0
3.836,0.0,0,0.0,0,0,0.0,0
3.842,0.0,0,0.0,0,0,0.0,0
3.852,0.0,0,0.0,0,0,0.0,0
3.857,0.0,0,0.0,0,0,0.0,0
3.861,0.0,0,0.0,0,0,0.0,0
3.867,0.0,0,0.0,0,0,0.0,0
3.87,0.0,0,0.0,0,0,0.0,0
3.874,0.0,0,0.0,0,0,0.0,0
3.882,0.0,0,0.0,0,0,0.0,0
3.893,0.0,0,0.0,0,0,0.0,0
3.9,0.0,0,0.0,0,0,0.0,0
3.906,0.0,0,0.0,0,0,0.0,0
3.917,0.0,0,0.0,0,0,0.0,0
3.924,0.0,0,0.0,0,0,0.0,0
3.932,0.0,0,0.0,0,0,0.0,0
3.942,0.0,0,0.0,0,0,0.0,0
3.947,0.0,0,0.0,0,0,0.0,0
3.951,0.0,0,0.0,0,0,0.0,0
3.955,0.0,0,0.0,0,0,0.0,0
3.96,0.0,0,0.0,0,0,0.0,0
3.964,0.0,0,0.0,0,0,0.0,0
3.968,0.0,0,0.0,0,0,0.0,0
3.973,0.0,0,0.0,0,0,0.0,0
3.984,0.0,0,0.0,0,0,0.0,0
3.992,0.0,0,0.0,0,0,0.0,0
4.001,0.0,0,0.0,0,0,0.0,0
4.009,0.0,0,0.0,0,0,0.0,0
4.017,0.0,0,0.0,0,0,0.0,0
4.025,0.0,0,0.0,0,0,0.0,0
4.035,0.0,0,0.0,0,0,0.0,0
4.044,0.0,0,0.0,0,0,0.0,0
4.05,0.0,0,0.0,0,0,0.0,0
4.055,0.0,0,0.0,0,0,0.0,0
4.062,0.0,0,0.0,0,0,0.0,0
4.068,0.0,0,0.0,0,0,0.0,0
4.078,0.0,0,0.0,0,0,0.0,0
