time,motor_angle,voltage
1.936,0.0,0.0
1.94,-1.58,11.9
1.944,-359.82,11.8
1.948,-433.65,11.7
1.952,-509.06,11.6
1.956,-568.47,11.500000000000002
1.961,-629.12,11.400000000000002
1.964,-691.1700000000001,11.300000000000002
1.971,-742.32,11.200000000000005
1.977,-787.85,11.100000000000003
1.982,-857.1,11.000000000000004
1.992,-914.58,10.900000000000004
2.001,-966.62,10.800000000000004
2.012,-1039.04,10.700000000000005
2.018,-1079.82,10.600000000000003
2.026,-1112.16,10.500000000000004
2.036,-1126.05,10.400000000000006
2.043,-1132.73,10.300000000000006
2.05,-1131.15,10.200000000000006
2.062,-1124.47,10.100000000000009
2.072,-1110.05,10.000000000000009
2.082,-1073.84,9.900000000000007
2.09,-1041.67,9.800000000000008
2.097,-999.49,9.700000000000008
2.108,-964.86,9.600000000000009
2.119,-923.2,9.500000000000009
2.126,-847.44,9.40000000000001
2.135,-779.23,9.30000000000001
2.145,-728.96,9.20000000000001
2.155,-665.6800000000001,9.10000000000001
2.164,-568.12,9.00000000000001
2.172,-501.32,8.900000000000011
2.18,-423.8,8.800000000000011
2.188,-354.19,8.700000000000012
2.197,-283.18,8.600000000000012
2.207,-201.44,8.500000000000012
2.216,-110.91,8.400000000000013
2.225,-19.33,8.300000000000013
2.231,53.96,8.200000000000014
2.24,142.73,8.100000000000014
2.247,231.67,8.000000000000014
2.255,309.55,7.900000000000015
2.262,376.34,7.800000000000015
2.268,447.18,7.700000000000015
2.276,522.77,7.600000000000016
2.288,579.72,7.500000000000016
2.292,712.96,7.400000000000016
2.296,779.41,7.300000000000017
2.3,823.35,7.200000000000017
2.306,864.66,7.100000000000017
2.315,907.03,7.000000000000018
2.321,974.7,6.900000000000018
2.328,1063.12,6.8000000000000185
2.338,1119.9,6.700000000000019
2.347,1210.6,6.600000000000019
2.355,1300.6,6.50000000000002
2.365,1399.21,6.40000000000002
2.374,1475.5,6.30000000000002
2.382,1586.25,6.200000000000021
2.386,1663.59,6.100000000000021
2.39,1731.44,6.000000000000021
2.399,1773.1,5.900000000000022
2.403,1809.66,5.800000000000022
2.412,1900.54,5.700000000000022
2.42,1951.17,5.600000000000023
2.427,2029.92,5.500000000000023
2.435,2122.91,5.400000000000024
2.439,2184.08,5.300000000000024
2.446,2237.34,5.200000000000024
2.454,2276.89,5.1000000000000245
2.46,2339.47,5.000000000000025
2.468,2414.88,4.900000000000025
2.476,2505.05,4.800000000000026
2.481,2552.16,4.700000000000026
2.484,2605.95,4.600000000000026
2.489,2643.39,4.500000000000027
2.496,2672.4,4.400000000000027
2.503,2713.53,4.300000000000027
2.511,2785.42,4.200000000000028
2.518,2836.05,4.100000000000028
2.528,2902.32,4.000000000000028
2.537,2974.57,3.900000000000028
2.545,3043.3,3.800000000000028
2.552,3111.15,3.700000000000028
2.562,3170.21,3.600000000000028
2.572,3225.93,3.500000000000028
2.579,3320.85,3.400000000000028
2.583,3372.71,3.300000000000028
2.587,3422.1,3.200000000000028
2.593,3448.82,3.100000000000028
2.604,3479.76,3.0000000000000275
2.612,3534.43,2.9000000000000274
2.619,3602.81,2.800000000000028
2.627,3658.35,2.7000000000000277
2.637,3703.35,2.600000000000027
2.647,3767.87,2.500000000000027
2.657,3820.07,2.400000000000027
2.667,3876.85,2.300000000000027
2.675,3954.55,2.200000000000027
2.683,4008.69,2.1000000000000267
2.691,4047.89,2.000000000000026
2.7,4091.66,1.9000000000000263
2.71,4135.78,1.8000000000000265
2.714,4198.0,1.7000000000000264
2.718,4238.43,1.6000000000000263
2.722,4253.9,1.5000000000000262
2.728,4277.98,1.400000000000026
2.736,4295.39,1.300000000000026
2.743,4334.76,1.200000000000026
2.753,4366.05,1.1000000000000258
2.763,4405.42,1.0000000000000258
2.771,4457.28,0.9000000000000258
2.777,4492.26,0.8000000000000258
2.784,4526.71,0.7000000000000258
2.792,4547.63,0.6000000000000258
2.801,4577.69,0.5000000000000259
2.808,4617.94,0.4000000000000259
2.812,4645.19,0.3000000000000259
2.816,4665.58,0.2000000000000259
2.82,4681.58,0.1000000000000259
2.831,4694.06,2.5895952049381776e-14
2.839,4715.5,0.0
2.848,4745.21,0.0
2.858,4768.24,0.0
2.866,4800.05,0.0
2.875,4822.73,0.0
2.882,4839.78,0.0
2.886,4856.48,0.0
2.895,4870.01,0.0
2.902,4882.67,0.0
2.906,4894.98,0.0
2.911,4905.0,0.0
2.914,4912.38,0.0
2.921,4918.71,0.0
2.927,4924.33,0.0
2.94,4934.53,0.0
2.949,4944.19,0.0
2.959,4959.14,0.0
2.964,4971.09,0.0
2.968,4978.12,0.0
2.972,4981.81,0.0
2.976,4985.68,0.0
2.984,4989.55,0.0
2.992,4992.71,0.0
3.001,4999.92,0.0
3.009,5006.07,0.0
3.018,5013.8,0.0
3.028,5017.67,0.0
3.035,5021.71,0.0
3.043,5026.64,0.0
3.05,5029.98,0.0
3.058,5032.96,0.0
3.062,5037.01,0.0
3.066,5039.12,0.0
3.07,5040.52,0.0
3.079,5041.75,0.0
3.088,5044.21,0.0
3.1,5046.32,0.0
3.112,5049.49,0.0
3.116,5052.3,0.0
3.125,5054.06,0.0
3.132,5055.11,0.0
3.141,5056.52,0.0
3.148,5057.92,0.0
3.155,5059.16,0.0
3.162,5059.68,0.0
3.17,5060.74,0.0
3.178,5061.44,0.0
3.185,5062.14,0.0
3.193,5063.02,0.0
3.197,5063.37,0.0
3.203,5063.73,0.0
3.212,5063.9,0.0
3.218,5064.25,0.0
3.224,5064.6,0.0
3.234,5064.78,0.0
3.242,5064.96,0.0
3.252,5065.13,0.0
3.26,5065.13,0.0
3.271,5065.31,0.0
3.279,5065.13,0.0
3.287,5065.13,0.0
3.291,5065.13,0.0
3.298,5065.13,0.0
3.305,5065.13,0.0
3.314,5065.13,0.0
3.323,5065.13,0.0
3.328,5065.13,0.0
3.336,5065.13,0.0
3.345,5065.13,0.0
3.355,5065.13,0.0
3.364,5065.13,0.0
3.373,5065.13,0.0
3.387,5065.13,0.0
3.393,5065.13,0.0
3.398,5065.13,0.0
3.408,5065.13,0.0
3.417,5065.13,0.0
3.43,5065.13,0.0
3.434,5065.13,0.0
3.446,5065.13,0.0
3.453,5065.13,0.0
3.46,5065.13,0.0
3.469,5065.13,0.0
3.483,5065.13,0.0
3.495,5065.13,0.0
3.502,5065.13,0.0
3.511,5065.13,0.0
3.518,5065.13,0.0
3.527,5065.13,0.0
3.534,5065.13,0.0
3.545,5065.13,0.0
3.551,5065.13,0.0
3.562,5065.13,0.0
3.571,5065.13,0.0
3.58,5065.13,0.0
3.588,5065.13,0.0
3.598,5065.13,0.0
3.607,5065.13,0.0
3.615,5065.13,0.0
3.619,5065.13,0.0
3.623,5065.13,0.0
3.63,5065.13,0.0
3.637,5065.13,0.0
3.647,5065.13,0.0
3.653,5065.13,0.0
3.66,5065.13,0.0
3.664,5065.13,0.0
3.669,5065.13,0.0
3.675,5065.13,0.0
3.683,5065.13,0.0
3.693,5065.13,0.0
3.699,5065.13,0.0
3.705,5065.13,0.0
3.709,5065.13,0.0
3.713,5065.13,0.0
3.717,5065.13,0.0
3.726,5065.13,0.0
3.736,5065.13,0.0
3.744,5065.13,0.0
3.752,5065.13,0.0
3.759,5065.13,0.0
3.762,5065.13,0.0
3.769,5065.13,0.0
3.776,5065.13,0.0
3.788,5065.13,0.0
3.796,5065.13,0.0
3.804,5065.13,0.0
3.808,5065.13,0.0
3.812,5065.13,0.0
3.818,5065.13,0.0
3.827,5065.13,0.0
3.837,5065.13,0.0
3.846,5065.13,0.0
3.853,5065.13,0.0
3.857,5065.13,0.0
3.861,5065.13,0.0
3.873,5065.13,0.0
3.879,5065.13,0.0
3.887,5065.13,0.0
3.894,5065.13,0.0
3.902,5065.13,0.0
3.906,5065.13,0.0
3.911,5065.13,0.0
3.92,5065.13,0.0
3.93,5065.13,0.0
3.939,5065.13,0.0
3.947,5065.13,0.0
3.951,5065.13,0.0
3.958,5065.13,0.0
3.966,5065.13,0.0
3.973,5065.13,0.0
3.982,5065.13,0.0
3.989,5065.13,0.0
3.996,5065.13,0.0
4.0,5065.13,0.0
4.006,5065.13,0.0
4.015,5065.13,0.0
4.024,5065.13,0.0
4.03,5065.13,0.0
4.037,5065.13,0.0
4.041,5065.13,0.0
4.045,5065.13,0.0
4.054,5065.13,0.0
4.063,5065.13,0.0
4.072,5065.13,0.0
4.082,5065.13,0.0
4.09,5065.13,0.0
4.094,5065.13,0.0
4.1,5065.13,0.0
4.111,5065.13,0.0
4.118,5065.13,0.0
4.128,5065.13,0.0
4.135,5065.13,0.0
4.139,5065.13,0.0
4.143,5065.13,0.0
4.15,5065.13,0.0
4.157,5065.13,0.0
4.165,5065.13,0.0
4.174,5065.13,0.0
4.183,5065.13,0.0
4.194,5065.13,0.0
4.203,5065.13,0.0
4.213,5065.13,0.0
4.221,5065.13,0.0
4.229,5065.13,0.0
4.233,5065.13,0.0
4.237,5065.13,0.0
4.245,5065.13,0.0
4.251,5065.13,0.0
4.259,5065.13,0.0
4.268,5065.13,0.0
4.275,5065.13,0.0
4.286,5065.13,0.0
4.292,5065.13,0.0
4.303,5065.13,0.0
4.311,5065.13,0.0
4.315,5065.13,0.0
4.319,5065.13,0.0
4.323,5065.13,0.0
4.327,5065.13,0.0
4.331,5065.13,0.0
4.336,5065.13,0.0
4.344,5065.13,0.0
4.353,5065.13,0.0
4.361,5065.13,0.0
4.37,5065.13,0.0
4.379,5065.13,0.0
4.386,5065.13,0.0
4.396,5065.13,0.0
4.405,5065.13,12.0
4.413,5065.13,12.0
4.417,5069.53,12.0
4.421,5080.07,12.0
4.426,5089.04,12.0
4.433,5099.94,12.0
4.44,5113.3,12.0
4.447,5142.83,12.0
4.456,5174.47,12.0
4.468,5213.67,12.0
4.477,5286.97,12.0
4.485,5359.74,12.0
4.493,5417.92,12.0
4.502,5487.01,12.0
4.507,5550.46,12.0
4.518,5649.96,12.0
4.526,5698.12,12.0
4.534,5792.34,12.0
4.543,5883.92,12.0
4.548,5992.2,12.0
4.553,6085.01,12.0
4.557,6123.33,12.0
4.561,6179.76,12.0
4.565,6224.76,12.0
4.569,6275.56,12.0
4.576,6329.7,12.0
4.584,6371.54,12.0
4.593,6491.6,12.0
4.603,6570.35,12.0
4.611,6722.75,12.0
4.621,6837.18,12.0
4.627,6936.67,12.0
4.635,7084.16,12.0
4.643,7203.16,12.0
4.647,7313.37,12.0
4.655,7384.74,12.0
4.659,7426.23,12.0
4.67,7561.23,12.0
4.677,7639.27,12.0
4.685,7781.3,12.0
4.692,7912.44,12.0
4.696,8023.53,12.0
4.703,8094.72,12.0
4.712,8157.83,12.0
4.721,8297.4,12.0
4.728,8425.37,12.0
4.737,8554.39,12.0
4.745,8698.0,12.0
4.751,8805.05,12.0
4.76,8914.21,12.0
4.767,9024.08,12.0
4.775,9171.73,12.0
4.784,9319.21,12.0
4.79,9442.96,12.0
4.794,9544.39,12.0
4.802,9640.19,12.0
4.808,9729.66,12.0
4.816,9848.67,12.0
4.828,9934.1,12.0
4.839,10127.46,12.0
4.845,10294.1,12.0
4.852,10454.06,12.0
4.864,10563.57,12.0
4.868,10670.62,12.0
4.877,10857.12,12.0
4.88,10980.17,12.0
4.884,11059.1,12.0
4.889,11111.66,12.0
4.897,11179.68,12.0
4.901,11252.63,12.0
4.911,11397.83,12.0
4.919,11482.55,12.0
4.927,11631.62,12.0
4.936,11804.58,12.0
4.943,11941.87,12.0
4.952,12058.94,12.0
4.962,12188.32,12.0
4.971,12329.29,12.0
4.979,12534.08,12.0
4.983,12646.75,12.0
4.991,12757.85,12.0
4.999,12827.98,12.0
5.008,12982.85,12.0
5.018,13122.07,12.0
5.024,13261.64,12.0
5.034,13418.61,12.0
5.042,13544.12,12.0
5.053,13716.56,12.0
5.06,13845.05,12.0
5.069,14005.19,12.0
5.073,14176.58,12.0
5.077,14274.84,12.0
5.086,14352.89,12.0
5.095,14423.9,12.0
5.105,14585.44,12.0
5.113,14729.76,12.0
5.124,14892.18,12.0
5.132,15084.84,12.0
5.141,15237.42,12.0
5.151,15354.84,12.0
5.159,15562.26,12.0
5.163,15710.27,12.0
5.167,15810.64,12.0
5.171,15870.05,12.0
5.175,15949.51,12.0
5.181,16015.42,12.0
5.189,16080.29,12.0
5.199,16208.08,12.0
5.209,16341.15,12.0
5.216,16531.17,12.0
5.22,16670.39,12.0
5.228,16782.36,12.0
5.232,16851.62,12.0
5.241,16978.71,12.0
5.245,17078.2,12.0
5.253,17199.14,12.0
5.262,17338.88,12.0
5.272,17446.64,12.0
5.279,17574.96,12.0
5.287,17754.78,12.0
5.295,17850.05,12.0
5.307,18042.18,12.0
5.316,18205.31,12.0
5.323,18386.71,12.0
5.328,18496.23,12.0
5.338,18597.48,12.0
5.348,18684.84,12.0
5.351,18899.12,12.0
5.355,19013.55,12.0
5.36,19076.13,12.0
5.367,19144.33,12.0
5.376,19219.04,12.0
5.387,19374.25,12.0
5.393,19519.62,12.0
5.4,19686.79,12.0
5.405,19786.28,12.0
5.409,19907.4,12.0
5.416,19982.63,12.0
5.426,20053.3,12.0
5.434,20210.97,12.0
5.444,20342.98,12.0
5.45,20534.06,12.0
5.454,20660.27,12.0
5.458,20752.03,12.0
5.464,20807.75,12.0
5.473,20890.01,12.0
5.479,21000.58,12.0
5.485,21153.33,12.0
5.495,21247.03,12.0
5.503,21398.2,12.0
5.514,21528.8,12.0
5.522,21689.29,12.0
5.534,21870.87,12.0
5.54,22046.66,12.0
5.544,22209.96,12.0
5.548,22275.87,12.0
5.554,22346.01,12.0
5.562,22414.92,12.0
5.57,22539.37,12.0
5.58,22670.33,12.0
5.592,22806.56,12.0
5.598,23008.71,12.0
5.608,23180.27,12.0
5.616,23291.89,12.0
5.623,23446.93,12.0
5.634,23577.18,12.0
5.64,23699.35,12.0
5.65,23872.14,12.0
5.656,24023.49,12.0
5.666,24169.04,12.0
5.674,24269.23,12.0
5.685,24415.48,12.0
5.693,24604.27,12.0
5.7,24762.12,12.0
5.714,24882.01,12.0
5.721,25033.18,12.0
5.728,25281.91,12.0
5.733,25360.48,12.0
5.737,25474.74,12.0
5.743,25553.49,12.0
5.751,25622.57,12.0
5.759,25753.71,12.0
5.766,25895.39,12.0
5.776,26017.2,12.0
5.784,26169.25,12.0
5.79,26313.04,12.0
5.798,26451.91,12.0
5.807,26566.34,12.0
5.816,26680.07,12.0
5.827,26837.05,12.0
5.837,27033.22,12.0
5.847,27192.12,12.0
