time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
1.875,0.0,0,0.0,0,0,0,0
3.186,0.0,0,0.0,0,0,3.404135182548045,0
3.196,0.0,0,0.0,0,0,11.808066888946952,0
3.204,0.0,0,0.0,0,0,11.874798614664458,0
3.21,4.92,0,0.0,0,182,11.941606493035739,301
3.222,16.69,0,0.0,0,345,12.025610936663158,285
3.23,53.78,0,0.0,0,601,12.09290143365517,257
3.237,72.24,0,0.0,0,680,12.152554605707625,248
3.245,105.99,0,0.0,0,809,12.220166503017936,235
3.254,148.0,0,0.0,0,937,12.279785925596952,236
3.266,195.29,0,0.0,0,1061,12.390477758755303,208
3.278,277.73,0,0.0,0,1234,12.492963777674477,188
3.286,375.99,0,0.0,0,1400,12.570292337592718,172
3.293,448.24,0,0.0,0,1495,12.63049990103106,171
3.3,529.45,0,0.0,0,1598,12.691024310907551,165
3.317,590.97,0,0.0,0,1666,12.821930874270404,149
3.33,766.58,0,0.0,0,1830,12.934980321403243,129
3.339,904.92,0,0.0,0,1933,13.02238210673903,120
3.346,1009.51,0,0.0,0,2018,13.092523375834205,118
3.353,1115.5,0,0.0,0,2084,13.171483600790824,109
3.361,1221.85,0,0.0,0,2145,13.233194424789682,103
3.365,1325.74,0,0.0,0,2198,13.286222572348152,97
3.369,1385.68,0,0.0,0,2232,13.322003556309237,96
3.373,1438.76,0,0.0,0,2267,13.357553743409808,94
3.381,1505.03,0,0.0,0,2292,13.393172458516062,91
3.387,1552.14,0,0.0,0,2313,13.464337906632515,90
3.397,1675.8899999999999,0,0.0,0,2368,13.517629027816044,84
3.408,1760.27,0,0.0,0,2406,13.624891942966315,83
3.415,1934.6399999999999,0,0.0,0,2467,13.714387050798102,76
3.427,2095.48,0,0.0,0,2528,13.795483539913555,72
3.438,2235.58,0,0.0,0,2567,13.876689876024535,67
3.45,2376.21,0,0.0,0,2615,13.994352160865336,66
3.46,2558.14,0,0.0,0,2666,14.094210546572201,63
3.47,2746.58,0,0.0,0,2722,14.185388239544842,60
3.479,2899.86,0,0.0,0,2775,14.267706278438574,57
3.486,3062.1,0,0.0,0,2793,14.350282183948439,56
3.497,3202.38,0,0.0,0,2823,14.414615304391743,54
3.507,3334.04,0,0.0,0,2856,14.537445661024478,52
3.52,3550.7799999999997,0,0.0,0,2904,14.6345219075835,50
3.53,3753.98,0,0.0,0,2948,14.742663143831148,48
3.538,3937.85,0,0.0,0,2976,14.81706507714686,48
3.547,4091.48,0,0.0,0,3010,14.896786030509045,48
3.556,4239.31,0,0.0,0,3041,15.003711186229964,44
3.563,4450.42,0,0.0,0,3063,15.063660973302383,47
