time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
1.873,0.0,0,0.0,0,0,0,0
3.188,0.0,0,0.0,0,0,7.591615915298462,0
3.194,0.0,0,0.0,0,0,14.171334505081177,0
3.198,0.0,0,0.0,0,0,14.201315641403198,0
3.207,3.69,0,0.0,0,143,14.221363067626953,371
3.217,9.84,0,0.0,0,272,14.272398948669434,357
3.224,33.22,0,0.0,0,519,14.317471981048584,331
3.232,68.02,0,0.0,0,723,14.3474280834198,307
3.244,96.32,0,0.0,0,865,14.407483339309692,291
3.253,170.68,0,0.0,0,1106,14.452416896820068,263
3.261,243.45,0,0.0,0,1293,14.49742317199707,243
3.27,308.49,0,0.0,0,1425,14.532482624053955,228
3.281,384.96,0,0.0,0,1559,14.592382907867432,214
3.29,485.68,0,0.0,0,1711,14.637421369552612,196
3.297,588.86,0,0.0,0,1838,14.677428007125854,182
3.303,678.3299999999999,0,0.0,0,1941,14.707839488983154,171
3.311,750.58,0,0.0,0,2014,14.747837781906128,163
3.319,840.05,0,0.0,0,2098,14.782817363739014,159
3.332,937.08,0,0.0,0,2174,14.822827577590942,147
3.344,1105.48,0,0.0,0,2295,14.89781141281128,132
3.352,1274.94,0,0.0,0,2410,14.952831268310547,119
3.36,1409.94,0,0.0,0,2484,14.987809658050537,113
3.366,1529.12,0,0.0,0,2548,15.032823085784912,107
3.377,1648.82,0,0.0,0,2595,15.067815780639648,101
3.384,1775.56,0,0.0,0,2660,15.117803812026978,95
3.395,1931.13,0,0.0,0,2725,15.15282392501831,89
3.403,2071.75,0,0.0,0,2776,15.202844142913818,85
3.415,2216.6,0,0.0,0,2822,15.247881412506104,79
3.424,2369.53,0,0.0,0,2881,15.312812328338623,74
3.432,2590.83,0,0.0,0,2935,15.357818603515625,68
3.441,2763.63,0,0.0,0,2981,15.387811660766602,65
3.451,2861.19,0,0.0,0,3004,15.432831048965454,65
3.457,3027.48,0,0.0,0,3049,15.482814311981201,59
3.465,3201.32,0,0.0,0,3087,15.517815351486206,57
3.473,3328.41,0,0.0,0,3108,15.557831525802612,52
3.481,3530.21,0,0.0,0,3148,15.592827796936035,48
3.489,3632.34,0,0.0,0,3158,15.633337497711182,46
3.5,3769.27,0,0.0,0,3184,15.673326253890991,44
3.508,3944.7,0,0.0,0,3217,15.728315114974976,42
3.517,4143.86,0,0.0,0,3241,15.778429508209229,41
3.526,4327.55,0,0.0,0,3264,15.818390846252441,38
3.533,4495.25,0,0.0,0,3291,15.853816270828247,36
3.542,4636.4,0,0.0,0,3310,15.898865461349487,37
3.551,4814.12,0,0.0,0,3336,15.93881607055664,35
3.563,4977.77,0,0.0,0,3365,15.983818769454956,32
3.571,5228.78,0,0.0,0,3382,16.053746938705444,27
3.575,5436.56,0,0.0,0,3382,16.083823442459106,28
3.583,5551.69,0,0.0,0,3401,16.104023456573486,25
3.593,5634.14,0,0.0,0,3411,16.154006719589233,26
3.602,5839.1,0,0.0,0,3424,16.19908094406128,25
3.612,6028.94,0,0.0,0,3444,16.249033212661743,22
3.62,6239.88,0,0.0,0,3461,16.29412055015564,22
3.629,6432.71,0,0.0,0,3459,16.324501037597656,19
3.64,6564.19,0,0.0,0,3472,16.379626989364624,19
3.65,6780.58,0,0.0,0,3500,16.429566144943237,19
3.66,7001.71,0,0.0,0,3495,16.489509344100952,15
3.665,7259.41,0,0.0,0,3503,16.529524326324463,15
3.669,7405.13,0,0.0,0,3513,16.54950261116028,14
3.676,7499.0,0,0.0,0,3500,16.57477855682373,14
3.682,7593.57,0,0.0,0,3519,16.61490559577942,13
3.69,7768.12,0,0.0,0,3519,16.644885540008545,11
3.698,7911.91,0,0.0,0,3524,16.679788827896118,11
3.706,8046.21,0,0.0,0,3532,16.719884872436523,12
3.714,8246.6,0,0.0,0,3543,16.764789819717407,10
3.718,8409.72,0,0.0,0,3548,16.800326108932495,11
3.729,8552.46,0,0.0,0,3545,16.81545853614807,10
3.737,8657.75,0,0.0,0,3551,16.870460510253906,8
3.743,8875.01,0,0.0,0,3548,16.92038059234619,10
3.752,9060.29,0,0.0,0,3564,16.955407857894897,10
3.759,9221.48,0,0.0,0,3564,17.000375986099243,8
3.763,9422.57,0,0.0,0,3570,17.020456790924072,7
3.771,9505.19,0,0.0,0,3572,17.045515775680542,8
3.78,9602.57,0,0.0,0,3580,17.090375423431396,9
3.791,9787.32,0,0.0,0,3575,17.140421867370605,8
3.8,10003.53,0,0.0,0,3586,17.190406322479248,6
3.811,10233.8,0,0.0,0,3575,17.230466604232788,4
3.818,10415.56,0,0.0,0,3583,17.285407781600952,5
3.827,10650.93,0,0.0,0,3586,17.320457696914673,4
3.834,10814.23,0,0.0,0,3583,17.36550807952881,5
3.846,10982.81,0,0.0,0,3591,17.41548776626587,4
3.853,11223.45,0,0.0,0,3580,17.460414171218872,5
3.857,11387.1,0,0.0,0,3597,17.495429515838623,5
3.866,11530.89,0,0.0,0,3591,17.515456676483154,4
3.876,11620.37,0,0.0,0,3597,17.560503482818604,6
3.884,11827.44,0,0.0,0,3597,17.615432739257812,5
3.895,12060.35,0,0.0,0,3591,17.665477991104126,4
3.902,12265.13,0,0.0,0,3602,17.710460424423218,3
3.911,12467.1,0,0.0,0,3602,17.7405047416687,4
3.921,12601.93,0,0.0,0,3605,17.79046893119812,3
3.927,12833.78,0,0.0,0,3614,17.84045934677124,5
3.937,13029.96,0,0.0,0,3597,17.875503301620483,3
3.945,13178.49,0,0.0,0,3614,17.915512323379517,4
3.951,13380.64,0,0.0,0,3605,17.960509061813354,5
3.958,13545.7,0,0.0,0,3600,17.985535860061646,3
3.965,13658.37,0,0.0,0,3597,18,2
3.973,13815.87,0,0.0,0,3605,18,4
3.981,13992.89,0,0.0,0,3597,18,3
3.989,14161.28,0,0.0,0,3597,18,4
3.997,14363.61,0,0.0,0,3605,18,3
4.0,14492.98,0,0.0,0,3611,18,3
4.008,14633.78,0,0.0,0,3619,18,4
