time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
1.906,0.0,0,0.0,0,0,0,0
3.201,0.0,90.0,0.0,0,0,11.9,0
3.204,0.0,90.0,0.0,0,0,11.8,0
3.209,0.0,90.0,0.0,0,0,11.700000000000001,0
3.213,1.4,90.0,0.0,0,105,11.600000000000001,301
3.218,6.15,90.0,0.0,0,165,11.500000000000002,297
3.226,10.54,90.0,0.0,0,221,11.400000000000002,291
3.233,23.9,90.0,0.0,0,372,11.300000000000002,269
3.24,41.48,90.0,0.0,0,496,11.200000000000003,250
3.252,66.26,90.0,0.0,0,623,11.100000000000003,233
3.26,102.48,90.0,0.0,0,763,11.000000000000004,213
3.267,151.17,90.0,0.0,0,899,10.900000000000004,195
3.278,199.16,90.0,0.0,0,1014,10.800000000000004,179
3.283,246.26,90.0,0.0,0,1100,10.700000000000005,165
3.291,320.27,90.0,0.0,0,1218,10.600000000000005,148
3.307,385.31,90.0,0.0,0,1303,10.500000000000005,136
3.314,489.02,90.0,0.0,0,1416,10.400000000000006,119
3.323,551.42,90.0,0.0,0,1476,10.300000000000006,109
3.329,612.42,90.0,0.0,0,1519,10.200000000000006,100
3.338,696.79,90.0,0.0,0,1584,10.100000000000007,90
3.345,758.49,90.0,0.0,0,1619,10.000000000000007,83
3.355,865.72,90.0,0.0,0,1674,9.900000000000007,74
3.365,930.76,90.0,0.0,0,1713,9.800000000000008,69
3.373,1045.19,90.0,0.0,0,1758,9.700000000000008,59
3.378,1129.21,90.0,0.0,0,1784,9.600000000000009,52
3.388,1209.72,90.0,0.0,0,1812,9.500000000000009,47
3.394,1287.07,90.0,0.0,0,1831,9.40000000000001,42
3.397,1374.78,90.0,0.0,0,1853,9.30000000000001,37
3.405,1433.32,90.0,0.0,0,1863,9.20000000000001,34
3.412,1477.79,90.0,0.0,0,1873,9.10000000000001,33
3.419,1566.73,90.0,0.0,0,1892,9.00000000000001,30
3.427,1652.51,90.0,0.0,0,1907,8.900000000000011,26
3.436,1731.09,90.0,0.0,0,1911,8.800000000000011,23
3.443,1850.8,90.0,0.0,0,1935,8.700000000000012,19
3.452,1921.81,90.0,0.0,0,1940,8.600000000000012,16
3.461,2005.66,90.0,0.0,0,1948,8.500000000000012,13
3.471,2112.36,90.0,0.0,0,1947,8.400000000000013,8
3.48,2226.09,90.0,0.0,0,1954,8.300000000000013,5
3.487,2342.98,90.0,0.0,0,1960,8.200000000000014,2
3.492,2436.15,90.0,0.0,0,1953,8.100000000000014,0
