time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.342,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.548,0.0,90.0,0.0,0,0,0,0,40288.482364844815,0.0,1999.9999999999998,90.0
2.554,0.35000000000000003,90.0,0.0,0,992,14.98033250668221,1,-838651.3606764784,291625.2834944072,1999.9999999999998,90.0
2.558,641.95,90.0,0.0,0,0,20,0,-1635871.5422109168,170384.91762700418,1999.9999999999998,90.0
2.562,644.06,90.0,0.0,0,115,12.881203051902869,390,-1899862.5156018154,88729.7506868668,1999.9999999999998,90.0
2.569,648.98,90.0,0.0,0,245,12.038415512384471,387,-1955677.135574925,20036.652989206512,1999.9999999999998,90.0
2.574,656.36,90.0,0.0,0,332,9.688467705662863,308,-1760330.3621539928,-75108.23623681115,1999.9999999999998,90.0
2.579,674.64,90.0,0.0,0,479,6.749257514892985,267,-1338592.8010418818,-107778.58870576236,1999.9999999999998,90.0
2.587,692.05,90.0,0.0,0,565,4.6217751764924735,193,-868744.1947139523,-115502.87703428436,1999.9999999999998,90.0
2.594,711.03,90.0,0.0,0,614,1.157000707382572,103,-255239.82181216645,-101756.30649613462,1999.9999999999998,90.0
2.605,738.98,90.0,0.0,0,645,-1.4151105665306645,41,186099.71568438975,-68911.29014517275,1999.9999999999998,90.0
2.611,765.17,90.0,0.0,0,620,-3.3762288870253627,26,578208.1342328112,-10648.84431966917,1999.9999999999998,90.0
2.62,803.3199999999999,90.0,0.0,0,544,-5.6481736584870355,99,547766.958934969,16796.308012297355,1999.9999999999998,90.0
2.631,823.35,90.0,0.0,0,473,-6.548474152844669,143,301242.9107817407,45871.53344263803,1999.9999999999998,90.0
2.637,852.1800000000001,90.0,0.0,0,301,-7.519240792107954,188,86860.07671352667,39509.959818246214,1999.9999999999998,90.0
2.644,862.38,90.0,0.0,0,208,-7.534693683099892,200,-88738.6952290508,25930.74193683442,1999.9999999999998,90.0
2.652,868.71,90.0,0.0,0,103,-6.142426345601017,228,-163034.94202545178,13767.038193189172,1999.9999999999998,90.0
2.661,869.94,90.0,0.0,0,38,-5.4491242924789525,203,-205996.19929600327,-4189.338392401319,1999.9999999999998,90.0
2.668,866.0699999999999,90.0,0.0,0,-105,-4.905562442433563,148,-159119.10099562243,-10571.009052710691,1999.9999999999998,90.0
2.676,859.74,90.0,0.0,0,-172,-4.557227456352063,123,-63871.07948919711,-13156.133704175052,1999.9999999999998,90.0
2.681,846.73,90.0,0.0,0,-251,-3.053015258122148,99,-20609.931061179763,-10947.758058446061,1999.9999999999998,90.0
2.687,839.17,90.0,0.0,0,-279,-2.2237893227080683,84,12452.195506051754,-8183.438033882036,1999.9999999999998,90.0
2.693,831.09,90.0,0.0,0,-296,-0.9909166407431833,39,40866.12201418851,-4560.645253504935,1999.9999999999998,90.0
2.697,820.54,90.0,0.0,0,-305,-0.8997012383893654,14,56135.47641493588,-721.6050082128316,1999.9999999999998,90.0
2.701,808.59,90.0,0.0,0,-296,-1.0675443620787028,4,55428.52114296477,783.2188785272649,1999.9999999999998,90.0
2.706,802.26,90.0,0.0,0,-303,-0.973877689190104,6,51633.617193913415,1988.9374444380765,1999.9999999999998,90.0
2.713,795.76,90.0,0.0,0,-294,-1.1571802834820257,2,42343.16094342221,3312.0962212208424,1999.9999999999998,90.0
2.718,785.91,90.0,0.0,0,-290,-1.4079784616734496,3,27374.8701509269,3984.8854962841965,1999.9999999999998,90.0
2.721,774.14,90.0,0.0,0,-296,-2.0304425763598832,1,15613.942049758905,3833.235092877576,1999.9999999999998,90.0
2.726,765.35,90.0,0.0,0,-296,-2.307721902309151,1,8200.868816940105,3498.2901276553007,1999.9999999999998,90.0
2.733,759.02,90.0,0.0,0,-293,-2.2223439178589253,11,-2124.8059980417665,2794.6925196763477,1999.9999999999998,90.0
2.738,748.12,90.0,0.0,0,-301,-2.5392583176277554,17,-8985.303433139892,1960.792176943654,1999.9999999999998,90.0
2.743,736.87,90.0,0.0,0,-309,-2.978692894002579,13,-11339.163439695874,1387.0062783631188,1999.9999999999998,90.0
2.746,728.61,90.0,0.0,0,-315,-2.948295937116276,22,-12081.228824693872,883.7046209388423,1999.9999999999998,90.0
2.75,719.64,90.0,0.0,0,-322,-2.9177051553391067,33,-11600.768045042809,596.7734887304342,1999.9999999999998,90.0
2.756,712.79,90.0,0.0,0,-332,-2.8950860883685596,31,-10434.057225943116,343.3429806948022,1999.9999999999998,90.0
2.762,704.53,90.0,0.0,0,-339,-2.881310829960773,30,-8246.186909052532,125.78364940222477,1999.9999999999998,90.0
2.77,693.28,90.0,0.0,0,-350,-2.9850832366070836,28,-5070.400380916955,31.334763240970517,1999.9999999999998,90.0
2.776,679.04,90.0,0.0,0,-362,-3.196410050075265,26,-1654.6515826623731,103.35948629402787,1999.9999999999998,90.0
2.784,662.69,90.0,0.0,0,-377,-3.3055353068609925,28,868.9688383331116,283.2887459959394,1999.9999999999998,90.0
2.791,646.1700000000001,90.0,0.0,0,-394,-3.2888081993445066,32,2307.2222674277855,495.1607570642136,1999.9999999999998,90.0
2.795,628.06,90.0,0.0,0,-409,-3.1712912148737455,33,2538.7090381200965,647.0476296618342,1999.9999999999998,90.0
2.802,611.54,90.0,0.0,0,-423,-2.929324505310726,30,2287.7520898437956,701.4271671202976,1999.9999999999998,90.0
2.808,601.69,90.0,0.0,0,-431,-2.459592894878667,26,1523.5138843738544,764.4665320765491,1999.9999999999998,90.0
2.815,581.66,90.0,0.0,0,-440,-2.3121192439933713,18,755.3255682846709,759.8801346239688,1999.9999999999998,90.0
2.824,565.66,90.0,0.0,0,-441,-2.3295135440166606,7,-264.09827823999547,706.6200512242833,1999.9999999999998,90.0
2.828,543.16,90.0,0.0,0,-444,-2.19540732828548,5,-848.2758163745398,632.458495307455,1999.9999999999998,90.0
2.834,523.47,90.0,0.0,0,-446,-2.216303004947963,5,-977.3812104507363,597.0900299079449,1999.9999999999998,90.0
2.841,514.51,90.0,0.0,0,-447,-1.7563727194766754,2,-1163.8966259350275,524.7374189570014,1999.9999999999998,90.0
2.845,495.7,90.0,0.0,0,-448,-1.5982322303564453,3,-1085.1439391317956,477.7613765045539,1999.9999999999998,90.0
2.85,479.17,90.0,0.0,0,-446,-1.6954295487605329,3,-973.1259000665327,456.0340669114371,1999.9999999999998,90.0
2.857,468.28,90.0,0.0,0,-446,-1.3853675745889893,6,-835.2651578473868,435.05179561438325,1999.9999999999998,90.0
2.86,455.62,90.0,0.0,0,-443,-1.2192561330735767,4,-607.7834684939423,413.82784833996385,1999.9999999999998,90.0
2.865,436.81,90.0,0.0,0,-437,-1.2892504838844965,10,-486.9113229903994,409.7561530688742,1999.9999999999998,90.0
2.872,427.32,90.0,0.0,0,-433,-1.178494485693323,13,-365.33892590341446,402.8457990586564,1999.9999999999998,90.0
2.877,413.26,90.0,0.0,0,-429,-1.0235140051417968,10,-239.70137466140233,398.034452341171,1999.9999999999998,90.0
2.882,395.85,90.0,0.0,0,-422,-1.148862363217328,11,-191.87058737981482,395.8027559941255,1999.9999999999998,90.0
2.889,384.78,90.0,0.0,0,-418,-1.025300257415183,14,-182.13482803643538,389.1707874003792,1999.9999999999998,90.0
2.893,370.37,90.0,0.0,0,-413,-0.9106396741666725,12,-190.2458681604962,379.5106616651753,1999.9999999999998,90.0
2.898,352.79,90.0,0.0,0,-405,-0.9634249610634829,13,-200.6452143644652,374.11545371354,1999.9999999999998,90.0
2.905,345.41,90.0,0.0,0,-402,-0.7764040094529374,14,-256.26550917222426,359.7684426247604,1999.9999999999998,90.0
2.91,331.52,90.0,0.0,0,-396,-0.6387352469625553,13,-289.6216797883328,343.24074428664034,1999.9999999999998,90.0
2.914,315.52,90.0,0.0,0,-388,-0.7284506435856888,15,-299.6233401120998,333.08650700901404,1999.9999999999998,90.0
2.918,306.03,90.0,0.0,0,-382,-0.5879855044437976,15,-321.3267137341784,321.0444519733937,1999.9999999999998,90.0
2.922,296.36,90.0,0.0,0,-379,-0.4167112956225607,15,-334.81270950280685,309.1622220617252,1999.9999999999998,90.0
2.927,286.87,90.0,0.0,0,-373,-0.3836658403360038,15,-341.4544779634167,296.90213802520776,1999.9999999999998,90.0
2.935,277.03,90.0,0.0,0,-367,-0.29459911004761463,15,-340.6290960310069,278.10029627885723,1999.9999999999998,90.0
2.938,261.73,90.0,0.0,0,-361,-0.32871577622727743,15,-312.1212084324745,266.66579477350143,1999.9999999999998,90.0
2.944,250.13,90.0,0.0,0,-354,-0.30126150530887885,16,-301.2749077845503,258.88352773990414,1999.9999999999998,90.0
2.951,242.57,90.0,0.0,0,-348,-0.069072106410487,15,-296.7615103621772,246.00449275514623,1999.9999999999998,90.0
2.955,231.15,90.0,0.0,0,-342,0.007729160780447275,14,-271.90457897272836,232.5461909824847,1999.9999999999998,90.0
2.96,217.61,90.0,0.0,0,-326,-0.029884613753501932,29,-254.61144995975744,226.1818060981965,1999.9999999999998,90.0
2.967,210.41,90.0,0.0,0,-317,0.10838703244493064,40,-253.2332285501181,212.81473913876158,1999.9999999999998,90.0
2.972,198.28,90.0,0.0,0,-305,0.09021374373596025,27,-230.16040810160658,201.98091379908143,1999.9999999999998,90.0
2.977,186.67,90.0,0.0,0,-285,0.02528394662868927,33,-219.68491775611312,195.2792693983864,1999.9999999999998,90.0
2.984,179.82,90.0,0.0,0,-277,0.0895880386465927,32,-223.59205178589275,185.03619638609328,1999.9999999999998,90.0
2.987,170.68,90.0,0.0,0,-262,-0.009907339758418066,31,-215.17465793621673,173.6403939382841,1999.9999999999998,90.0
2.995,160.31,90.0,0.0,0,-246,-0.044398008440552486,29,-208.39276704212193,169.21835071193092,1999.9999999999998,90.0
3.0,155.91,90.0,0.0,0,-240,-0.08505606578308862,21,-219.18712080619324,155.41019853106963,1999.9999999999998,90.0
3.004,145.19,90.0,0.0,0,-229,-0.15028860318726378,18,-197.7911577874663,148.68837971826613,1999.9999999999998,90.0
3.01,137.98,90.0,0.0,0,-222,-0.18019096304006132,14,-190.9910551777,142.60831451039658,1999.9999999999998,90.0
3.017,132.36,90.0,0.0,0,-219,-0.10823250604593009,9,-186.32766064611891,135.10558240625764,1999.9999999999998,90.0
3.02,125.5,90.0,0.0,0,-215,-0.06547494935311497,8,-171.785355017471,125.77347040025549,1999.9999999999998,90.0
3.026,116.19,90.0,0.0,0,-210,-0.005124976618410687,12,-160.4972138060818,122.25261551652125,1999.9999999999998,90.0
3.032,111.97,90.0,0.0,0,-204,0.09793148196438228,15,-159.4018674835704,113.9751745651032,1999.9999999999998,90.0
3.037,104.41,90.0,0.0,0,-197,0.2450579839098569,15,-144.7030668572528,107.50552016935642,1999.9999999999998,90.0
3.042,97.55,90.0,0.0,0,-189,0.23949464081154656,21,-136.10619912786112,102.22280056049391,1999.9999999999998,90.0
3.049,92.1,90.0,0.0,0,-179,0.31661894998417706,23,-132.68684520223752,97.26637016086582,1999.9999999999998,90.0
3.053,87.36,90.0,0.0,0,-170,0.3625419408768424,22,-130.21037703293888,89.60039510942461,1999.9999999999998,90.0
3.058,80.68,90.0,0.0,0,-157,0.3380048026164203,23,-122.70801669445726,86.02074806456234,1999.9999999999998,90.0
3.062,76.99,90.0,0.0,0,-150,0.3146009282240634,24,-123.0028031878267,80.77360837196953,1999.9999999999998,90.0
3.065,72.77,90.0,0.0,0,-141,0.2805098671637436,21,-119.52726020640212,76.59860551676387,1999.9999999999998,90.0
3.069,69.25,90.0,0.0,0,-133,0.2690086491685029,22,-117.23553606760902,73.22584187065819,1999.9999999999998,90.0
3.074,66.62,90.0,0.0,0,-127,0.23832152960117167,18,-115.4881132454818,69.56430216378432,1999.9999999999998,90.0
3.078,63.63,90.0,0.0,0,-122,0.20827406669128162,17,-111.26140084411516,65.75001479996175,1999.9999999999998,90.0
3.082,60.64,90.0,0.0,0,-116,0.19123434097865663,15,-105.16527064893265,62.23289166839707,1999.9999999999998,90.0
3.085,57.65,90.0,0.0,0,-110,0.20324134516189368,13,-99.36731968874228,59.50976850188345,1999.9999999999998,90.0
3.09,55.19,90.0,0.0,0,-107,0.19712532303034166,11,-93.64139472032046,56.345866627510404,1999.9999999999998,90.0
3.094,52.38,90.0,0.0,0,-101,0.1957450376016739,12,-88.15966659755543,54.23903259410863,1999.9999999999998,90.0
3.098,50.44,90.0,0.0,0,-98,0.2275755376425225,11,-83.09109540896365,51.367020022472026,1999.9999999999998,90.0
3.105,47.98,90.0,0.0,0,-93,0.22455131196536615,11,-75.51402376347768,48.78048068331999,1999.9999999999998,90.0
3.112,45.35,90.0,0.0,0,-89,0.251504398829157,12,-66.12273338036044,45.811024898264165,1999.9999999999998,90.0
3.118,42.36,90.0,0.0,0,-81,0.2671360617349743,11,-54.65509310186806,42.94416573585087,1999.9999999999998,90.0
3.123,39.19,90.0,0.0,0,-75,0.31189024217350136,11,-44.15039413027616,40.20726475399725,1999.9999999999998,90.0
3.131,36.03,90.0,0.0,0,-67,0.30555133307595345,11,-39.59410199913508,38.692593792318156,1999.9999999999998,90.0
3.137,34.27,90.0,0.0,0,-63,0.32165024753209914,11,-39.81328878089938,35.68160526823497,1999.9999999999998,90.0
3.144,31.64,90.0,0.0,0,-55,0.3265809028090211,10,-35.364182978851524,33.73641530975094,1999.9999999999998,90.0
3.147,29.88,90.0,0.0,0,-51,0.3519168260229815,12,-33.90154423216535,31.611930869499798,1999.9999999999998,90.0
3.154,28.12,90.0,0.0,0,-43,0.33655679096717955,10,-32.4443857705687,30.564855100871448,1999.9999999999998,90.0
3.16,27.42,90.0,0.0,0,-40,0.3440333339414814,10,-32.93983076109194,28.19081936172637,1999.9999999999998,90.0
3.164,25.83,90.0,0.0,0,-35,0.3134284933490499,9,-26.933836659363124,26.6281666602184,1999.9999999999998,90.0
3.171,24.78,90.0,0.0,0,-28,0.33596580815262506,9,-23.412784665232383,25.704287062999384,1999.9999999999998,90.0
3.179,24.08,90.0,0.0,0,-25,0.33231062747716544,8,-18.1717102136694,24.05480227287104,1999.9999999999998,90.0
