time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.338,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.545,0.0,90.0,0.0,0,0,0,0,53728.24823670757,0.0,1999.9999999999998,90.0
2.551,1.05,90.0,0.0,0,2035,20,1,-1137890.4153021965,389431.0104413416,1999.9999999999998,90.0
2.558,1389.37,90.0,0.0,0,0,20,0,-2206797.777312321,226009.20845477036,1999.9999999999998,90.0
2.566,1392.01,90.0,0.0,0,121,20,392,-2930168.7318554567,-2015.4567284292539,1999.9999999999998,90.0
2.57,1405.01,90.0,0.0,0,359,20,367,-2540543.530512999,-118325.25910144096,1999.9999999999998,90.0
2.574,1423.3,90.0,0.0,0,531,20,350,-2110330.9481036495,-147634.7803455471,1999.9999999999998,90.0
2.583,1435.95,90.0,0.0,0,623,20,338,-1575630.7570807973,-162986.38572983292,1999.9999999999998,90.0
2.592,1453.35,90.0,0.0,0,722,20,327,-471656.9603652384,-158121.6138741377,1999.9999999999998,90.0
2.598,1497.65,90.0,0.0,0,927,20,303,415900.1308929479,-97003.42981122507,1999.9999999999998,90.0
2.607,1552.14,90.0,0.0,0,1104,20,281,827883.2256811184,-24283.846261119226,1999.9999999999998,90.0
2.616,1613.84,90.0,0.0,0,1275,20,262,817920.7653837118,32427.277241633346,1999.9999999999998,90.0
2.624,1684.16,90.0,0.0,0,1437,20,244,607855.9479935394,51639.637363581336,1999.9999999999998,90.0
2.631,1740.05,90.0,0.0,0,1531,20,231,276517.44715594547,56682.496053456096,1999.9999999999998,90.0
2.639,1819.86,90.0,0.0,0,1664,20,217,-25251.009843119173,42775.75982323042,1999.9999999999998,90.0
2.648,1905.29,90.0,0.0,0,1787,20,207,-239153.6229597862,17943.16516418354,1999.9999999999998,90.0
2.652,2009.53,90.0,0.0,0,1919,20,188,-266628.42814576987,3183.3271628703683,1999.9999999999998,90.0
2.656,2081.6,90.0,0.0,0,1997,20,178,-248322.25351381002,-3626.3105706520496,1999.9999999999998,90.0
