time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.341,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.546,0.0,90.0,0.0,0,0,0,0,53837.00179139909,0.0,1999.9999999999998,90.0
2.555,0.52,90.0,0.0,0,1020,20,1,-1139613.856623725,389994.3145444186,1999.9999999999998,90.0
2.562,672.71,90.0,0.0,0,0,20,0,-2563033.6465723943,172367.48722119845,1999.9999999999998,90.0
2.568,678.1600000000001,90.0,0.0,0,194,20,388,-2918946.6327047423,-17461.501633279397,1999.9999999999998,90.0
2.581,690.99,90.0,0.0,0,381,20,365,-2503779.2468191255,-120127.50367187652,1999.9999999999998,90.0
2.588,708.39,90.0,0.0,0,537,20,348,-1018445.8065837789,-217747.9766660767,1999.9999999999998,90.0
2.595,762.01,90.0,0.0,0,841,20,313,24645.257457201238,-165706.46506356887,1999.9999999999998,90.0
2.603,801.21,90.0,0.0,0,995,20,293,702954.616025744,-91766.43632518618,1999.9999999999998,90.0
2.609,847.44,90.0,0.0,0,1142,20,278,1019531.5046626752,-12227.342632641554,1999.9999999999998,90.0
2.617,906.5,90.0,0.0,0,1294,20,259,962442.2535810226,20434.86961198157,1999.9999999999998,90.0
2.625,944.29,90.0,0.0,0,1383,20,248,707716.0835888564,60009.29753741692,1999.9999999999998,90.0
2.633,1020.05,90.0,0.0,0,1524,20,231,210641.11934714243,66911.88976502034,1999.9999999999998,90.0
2.642,1122.53,90.0,0.0,0,1684,20,213,-14192.1873874253,52036.748758153735,1999.9999999999998,90.0
2.649,1177.73,90.0,0.0,0,1764,20,203,-257768.0643170391,24973.62465610523,1999.9999999999998,90.0
2.657,1271.07,90.0,0.0,0,1885,20,190,-320642.27853802126,2934.816643504238,1999.9999999999998,90.0
2.665,1357.73,90.0,0.0,0,1987,20,178,-271005.2053529408,-16210.350003792675,1999.9999999999998,90.0
2.668,1472.51,90.0,0.0,0,2096,20,166,-172107.63217600345,-19830.664836028333,1999.9999999999998,90.0
2.672,1556.54,90.0,0.0,0,2171,20,156,-120604.43314396375,-18954.882147908327,1999.9999999999998,90.0
2.677,1599.25,90.0,0.0,0,2205,20,153,-67347.41989895208,-16965.531508250657,1999.9999999999998,90.0
2.682,1650.05,90.0,0.0,0,2242,20,148,-8477.554717890942,-13377.172960168153,1999.9999999999998,90.0
2.685,1717.55,90.0,0.0,0,2300,20,142,31303.296075669088,-9454.448479390034,1999.9999999999998,90.0
2.689,1781.54,90.0,0.0,0,2350,20,137,51364.010924810435,-6453.053188830157,1999.9999999999998,90.0
2.693,1830.58,90.0,0.0,0,2381,20,133,66753.48451381503,-3125.437448706109,1999.9999999999998,90.0
2.699,1888.76,90.0,0.0,0,2413,20,127,73441.32243949635,-157.65517940335974,1999.9999999999998,90.0
2.707,1951.52,90.0,0.0,0,2451,20,125,72297.04284246698,3059.2933120288776,1999.9999999999998,90.0
2.713,2035.72,90.0,0.0,0,2497,20,119,57938.810843028215,5726.39217159332,1999.9999999999998,90.0
2.717,2145.41,90.0,0.0,0,2560,20,111,34071.14018017257,6655.142518692183,1999.9999999999998,90.0
2.722,2263.35,90.0,0.0,0,2617,20,105,23780.05995076228,6428.708987060241,1999.9999999999998,90.0
