time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.349,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.554,0.0,90.0,0.0,0,0,0,0,832.0501799084418,0.0,1999.9999999999998,90.0
2.562,0.0,90.0,0.0,0,0,0.3092897967459151,0,-17584.971055316983,6018.456440942263,1999.9999999999998,90.0
2.57,0.0,90.0,0.0,0,0,0.3092897967459151,0,-40070.809420077254,2580.7069342271725,1999.9999999999998,90.0
2.576,0.0,90.0,0.0,0,0,0.3092897967459151,5,-45813.71742744261,-688.9567125319472,1999.9999999999998,90.0
2.582,0.35000000000000003,90.0,0.0,0,0,0.3092897967459151,4,-37820.15498545828,-2153.750509298995,1999.9999999999998,90.0
2.588,0.52,90.0,0.0,0,0,0.3092897967459151,4,-25446.02097896726,-2762.0781071484594,1999.9999999999998,90.0
2.597,0.7000000000000001,90.0,0.0,0,0,0.30808700309190323,4,-12170.578301901825,-2663.2832279038003,1999.9999999999998,90.0
2.604,1.05,90.0,0.0,0,5,0.3075027890313832,4,2657.077866428826,-1908.8833854428938,1999.9999999999998,90.0
2.609,1.58,90.0,0.0,0,9,0.30688420943789135,4,9915.049981993969,-983.2275330970534,1999.9999999999998,90.0
2.62,2.1,90.0,0.0,0,9,0.3096607664784265,4,12294.990689872999,-216.24849670709665,1999.9999999999998,90.0
2.626,2.63,90.0,0.0,0,12,0.31102287378656046,4,11338.143436067016,533.8011012223617,1999.9999999999998,90.0
2.633,3.33,90.0,0.0,0,14,0.30923586607202846,3,7887.613859761417,771.3794368818253,1999.9999999999998,90.0
2.637,4.04,90.0,0.0,0,15,0.309802103241253,3,3876.859287090452,775.5960858237295,1999.9999999999998,90.0
2.642,4.74,90.0,0.0,0,17,0.30898825621104803,4,1535.5906981044773,667.4911064203931,1999.9999999999998,90.0
2.651,5.27,90.0,0.0,0,18,0.3073441735089619,3,-1175.6832913748997,459.67683502324485,1999.9999999999998,90.0
2.657,6.15,90.0,0.0,0,19,0.30653032647875694,3,-2686.543489335648,236.7989484626021,1999.9999999999998,90.0
2.662,6.85,90.0,0.0,0,20,0.30550482337016266,3,-3297.901973236644,3.3105783757238028,1999.9999999999998,90.0
2.667,7.91,90.0,0.0,0,22,0.30327652660755644,3,-3039.8674125006814,-73.25985212105408,1999.9999999999998,90.0
2.67,8.43,90.0,0.0,0,22,0.3016668094384421,3,-2589.545293338276,-130.23570167961861,1999.9999999999998,90.0
2.678,9.14,90.0,0.0,0,22,0.2996158032212535,3,-1840.9995973406171,-171.39926166931647,1999.9999999999998,90.0
2.683,9.84,90.0,0.0,0,24,0.29782879550672153,3,-1010.7034661247535,-171.79863068814143,1999.9999999999998,90.0
2.69,10.89,90.0,0.0,0,24,0.29538884266572596,3,-427.86199091944843,-148.25426419968557,1999.9999999999998,90.0
2.695,11.6,90.0,0.0,0,25,0.294574995635521,2,271.2369524655928,-98.21450268812345,1999.9999999999998,90.0
