time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.35,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.557,0.0,90.0,0.0,0,0,0,0,9685.029983520506,0.0,1999.9999999999998,90.0
2.564,0.52,90.0,0.0,0,1011,3.602359576116296,1,-205036.64262596247,70170.36868605827,1999.9999999999998,90.0
2.568,650.9100000000001,90.0,0.0,0,0,3.602359576116296,0,-466334.5750825251,30214.591740747073,1999.9999999999998,90.0
2.573,651.79,90.0,0.0,0,0,6.227977052280501,84,-497236.5334889782,12134.777386334621,1999.9999999999998,90.0
2.577,653.02,90.0,0.0,0,52,3.602359576116296,81,-484013.7278082356,-3992.978692501421,1999.9999999999998,90.0
2.583,655.31,90.0,0.0,0,105,3.602359576116296,151,-436203.2793700421,-14493.381648440956,1999.9999999999998,90.0
2.59,658.3,90.0,0.0,0,127,3.737406172318609,77,-324766.4364175262,-25616.24354655743,1999.9999999999998,90.0
2.597,664.45,90.0,0.0,0,169,3.87504981844789,69,-187975.86953645563,-27881.495651573314,1999.9999999999998,90.0
2.605,671.48,90.0,0.0,0,191,3.932184916841176,69,-16599.24978546252,-22630.342872019737,1999.9999999999998,90.0
2.61,683.0799999999999,90.0,0.0,0,247,4.041261013773814,68,75904.11252581686,-13654.2760478191,1999.9999999999998,90.0
2.616,693.63,90.0,0.0,0,272,4.098396112167101,66,105691.75958897831,-7757.961334955946,1999.9999999999998,90.0
2.622,701.19,90.0,0.0,0,291,4.243830908077284,67,122703.17782760922,-751.1797980585696,1999.9999999999998,90.0
2.627,712.61,90.0,0.0,0,322,4.308757156251473,64,113972.73196902606,3988.9135482863294,1999.9999999999998,90.0
2.634,724.21,90.0,0.0,0,355,4.358101104863857,65,89627.87581055444,6909.190401284468,1999.9999999999998,90.0
2.638,737.57,90.0,0.0,0,379,4.438609652599851,64,53968.79242166737,8011.989835545195,1999.9999999999998,90.0
2.643,753.57,90.0,0.0,0,409,4.524312300189781,61,34100.340634040585,7555.5674549745345,1999.9999999999998,90.0
2.65,763.41,90.0,0.0,0,423,4.586641498437002,62,12758.284499537172,6566.642259668385,1999.9999999999998,90.0
2.655,775.54,90.0,0.0,0,447,4.664552996246028,62,-11174.3233263045,4695.132231301622,1999.9999999999998,90.0
2.662,794.53,90.0,0.0,0,478,4.700911695223574,60,-23157.890946564406,2868.618188054942,1999.9999999999998,90.0
2.666,812.1,90.0,0.0,0,503,4.763240893470796,60,-28051.11010154919,1077.7766919753738,1999.9999999999998,90.0
2.671,832.85,90.0,0.0,0,530,4.843749441206791,57,-26412.25593869612,318.2501909314993,1999.9999999999998,90.0
2.675,846.38,90.0,0.0,0,545,4.9086756893809795,57,-22801.01814514112,-248.4634303379015,1999.9999999999998,90.0
2.683,861.3199999999999,90.0,0.0,0,567,4.978796037409104,57,-16789.574915464604,-642.5716803428977,1999.9999999999998,90.0
2.691,880.66,90.0,0.0,0,588,5.017751786313617,57,-8135.784686750687,-710.1383677378931,1999.9999999999998,90.0
2.697,907.03,90.0,0.0,0,617,5.0748868847069035,54,-353.2006006997739,-362.1991546846125,1999.9999999999998,90.0
2.703,934.27,90.0,0.0,0,643,5.1294249331732225,52,3825.2339093303754,61.65024416215626,1999.9999999999998,90.0
2.709,956.42,90.0,0.0,0,664,5.2047393810552816,52,6644.743745803251,554.9398188668082,1999.9999999999998,90.0
2.716,982.96,90.0,0.0,0,686,5.272262679156438,50,7305.956294527206,932.3246860035418,1999.9999999999998,90.0
2.72,1007.5699999999999,90.0,0.0,0,707,5.326800727622757,49,6626.443169056101,1252.966085432487,1999.9999999999998,90.0
2.724,1037.1,90.0,0.0,0,735,5.383935826016044,49,5682.012919733711,1345.093400526271,1999.9999999999998,90.0
2.732,1053.45,90.0,0.0,0,746,5.438473874482362,49,4051.4702449433953,1437.2133708556698,1999.9999999999998,90.0
2.74,1080.52,90.0,0.0,0,766,5.511191272437454,48,1993.4799387942062,1444.2558717601796,1999.9999999999998,90.0
2.745,1114.62,90.0,0.0,0,788,5.539758821634098,46,199.15662816204988,1365.9032362343135,1999.9999999999998,90.0
2.752,1151.71,90.0,0.0,0,814,5.5916998201734485,46,-406.0554968073362,1302.3569270229516,1999.9999999999998,90.0
2.757,1173.69,90.0,0.0,0,829,5.648834918566735,44,-855.8457780433223,1222.3176163380626,1999.9999999999998,90.0
2.761,1208.67,90.0,0.0,0,852,5.716358216667892,44,-847.8877873402724,1180.7978293489016,1999.9999999999998,90.0
2.764,1235.03,90.0,0.0,0,865,5.755313965572405,43,-667.7913552882658,1167.230387473908,1999.9999999999998,90.0
2.772,1255.95,90.0,0.0,0,877,5.8150461138926595,43,-470.2505476404472,1167.5877472097698,1999.9999999999998,90.0
2.777,1272.65,90.0,0.0,0,886,5.848807762943237,43,107.59689225686789,1187.9785896595013,1999.9999999999998,90.0
2.781,1315.72,90.0,0.0,0,914,5.879972362066848,43,399.33994415047414,1216.5401013433477,1999.9999999999998,90.0
2.786,1342.6100000000001,90.0,0.0,0,928,5.903345811409556,42,660.8095406130385,1252.0783837920512,1999.9999999999998,90.0
2.794,1366.34,90.0,0.0,0,940,5.976063209364648,41,962.7922072427416,1306.916741983807,1999.9999999999998,90.0
2.797,1399.04,90.0,0.0,0,959,6.012421908342194,41,1151.9413001275072,1368.7231047542803,1999.9999999999998,90.0
2.803,1437.3600000000001,90.0,0.0,0,972,6.043586507465804,39,1181.4003859248617,1398.4774117335237,1999.9999999999998,90.0
2.81,1457.4,90.0,0.0,0,980,6.092930456078188,39,1257.394872071812,1453.5303185694784,1999.9999999999998,90.0
2.814,1491.85,90.0,0.0,0,997,6.126692105128766,39,1200.2466276968528,1507.277583438347,1999.9999999999998,90.0
2.818,1533.33,90.0,0.0,0,1018,6.147468504544507,37,1127.3150439210888,1532.5841851731943,1999.9999999999998,90.0
