time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.384,0.0,0,0.0,0,0,0,0
2.393,0.0,0,0.0,0,0,7.204719152232592,0
2.401,0.0,0,0.0,0,0,7.204719152232592,0
2.411,2.63,0,0.0,0,85,7.204719152232592,182
2.422,9.84,0,0.0,0,184,6.966167550070007,170
2.429,32.69,0,0.0,0,350,6.688325095786525,151
2.437,50.44,0,0.0,0,427,6.222447849210183,134
2.445,79.8,0,0.0,0,518,6.006348162545253,116
2.455,104.58,0,0.0,0,572,5.750957623759427,97
2.462,129.9,0,0.0,0,611,5.599407194150255,86
2.47,160.31,0,0.0,0,658,5.489954106099187,74
2.477,193.0,0,0.0,0,695,5.3580491025504635,65
2.488,234.66,0,0.0,0,737,5.254208993373808,56
2.495,267.71,0,0.0,0,763,5.136336437011119,49
2.505,307.08,0,0.0,0,788,5.063367711643741,43
2.515,344.7,0,0.0,0,808,4.993205475713569,37
2.525,399.02,0,0.0,0,835,4.937075686969431,34
2.532,444.55,0,0.0,0,851,4.861300472164846,28
2.539,492.71000000000004,0,0.0,0,869,4.8163966411695345,24
2.549,525.05,0,0.0,0,875,4.765879831299811,22
2.555,568.3,0,0.0,0,888,4.74904089467657,21
2.559,619.8,0,0.0,0,899,4.712556531992881,19
2.563,650.74,0,0.0,0,908,4.681685148183605,18
2.567,671.48,0,0.0,0,912,4.656426743248743,17
2.572,695.39,0,0.0,0,918,4.645200785499915,16
2.582,717.36,0,0.0,0,924,4.628361848876674,16
2.59,761.13,0,0.0,0,929,4.611522912253433,15
2.6,800.33,0,0.0,0,936,4.5974904650673984,14
2.612,859.21,0,0.0,0,942,4.5778450390069505,13
2.62,919.51,0,0.0,0,951,4.561006102383709,13
2.626,969.96,0,0.0,0,961,4.535747697448848,12
2.637,1015.48,0,0.0,0,965,4.507682803076778,10
2.648,1069.8,0,0.0,0,971,4.49645684532795,9
2.657,1127.28,0,0.0,0,977,4.479617908704709,8
2.667,1183.71,0,0.0,0,982,4.462778972081468,8
2.676,1241.19,0,0.0,0,984,4.448746524895434,7
2.691,1292.87,0,0.0,0,986,4.44313354602102,6
2.698,1369.51,0,0.0,0,990,4.437520567146606,5
2.704,1435.78,0,0.0,0,993,4.426294609397779,4
2.713,1475.15,0,0.0,0,997,4.417875141086158,4
2.725,1523.49,0,0.0,0,999,4.40664918333733,4
2.735,1574.29,0,0.0,0,995,4.401036204462917,3
2.739,1656.73,0,0.0,0,1002,4.412262162211745,3
2.743,1696.28,0,0.0,0,1004,4.392616736151297,3
2.748,1723.88,0,0.0,0,1002,4.387003757276882,3
2.758,1747.96,0,0.0,0,1002,4.392616736151297,2
2.765,1785.05,0,0.0,0,1004,4.392616736151297,2
2.773,1845.17,0,0.0,0,1004,4.387003757276882,2
2.784,1880.68,0,0.0,0,1003,4.387003757276882,2
2.789,1964.88,0,0.0,0,1003,4.38981024671409,2
2.793,1995.46,0,0.0,0,1005,4.38981024671409,2
2.801,2019.02,0,0.0,0,1006,4.384197267839675,2
2.809,2044.51,0,0.0,0,1002,4.381390778402468,2
2.819,2100.41,0,0.0,0,1005,4.392616736151297,2
2.829,2149.8,0,0.0,0,1006,4.384197267839675,2
2.833,2218.18,0,0.0,0,1007,4.381390778402468,2
2.838,2269.86,0,0.0,0,1008,4.3785842889652615,1
2.842,2289.02,0,0.0,0,1006,4.375777799528055,1
2.848,2316.44,0,0.0,0,1007,4.381390778402468,2
2.857,2341.05,0,0.0,0,1006,4.3785842889652615,2
2.867,2381.13,0,0.0,0,1007,4.381390778402468,1
2.878,2435.09,0,0.0,0,1008,4.3785842889652615,2
2.887,2509.1,0,0.0,0,1004,4.375777799528055,2
2.891,2569.92,0,0.0,0,1008,4.387003757276882,2
2.902,2612.98,0,0.0,0,1008,4.375777799528055,2
2.909,2655.87,0,0.0,0,1009,4.375777799528055,1
2.919,2705.27,0,0.0,0,1007,4.372971310090848,2
2.928,2749.57,0,0.0,0,1008,4.3785842889652615,1
2.932,2820.23,0,0.0,0,1007,4.375777799528055,1
2.936,2861.54,0,0.0,0,1010,4.3785842889652615,1
2.944,2884.74,0,0.0,0,1007,4.370164820653641,2
2.954,2911.64,0,0.0,0,1012,4.3785842889652615,1
2.963,2968.24,0,0.0,0,1009,4.364551841779227,1
2.972,3025.19,0,0.0,0,1007,4.372971310090848,1
