time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
1.342,0.0,0,0.0,0,0,0,0,0.0,0.0,1999.9999999999998,90.0
2.547,0.0,90.0,0.0,0,0,0,0,40365.29748140202,0.0,1999.9999999999998,90.0
2.553,0.0,90.0,0.0,0,0,14.99460666080417,0,-839258.5897059154,291818.3893054291,1999.9999999999998,90.0
2.562,0.0,90.0,0.0,0,0,20,0,-1904114.354040871,129856.00115670104,1999.9999999999998,90.0
2.568,3.86,90.0,0.0,0,172,20,383,-2194633.0580580817,-20791.12291866695,1999.9999999999998,90.0
2.573,17.92,90.0,0.0,0,393,20,371,-1861681.9155006625,-94217.07769180543,1999.9999999999998,90.0
2.585,35.68,90.0,0.0,0,557,20,374,-1233576.3624645136,-132455.30223364625,1999.9999999999998,90.0
2.589,62.92,90.0,0.0,0,724,20,331,-258046.98593058297,-125995.80426225843,1999.9999999999998,90.0
2.597,112.67,90.0,0.0,0,939,19.73095773720231,304,105824.15279967271,-96959.25696543601,1999.9999999999998,90.0
2.603,141.15,90.0,0.0,0,1047,16.125762729574465,291,469978.9940818873,-52196.97305701766,1999.9999999999998,90.0
2.609,187.2,90.0,0.0,0,1191,11.037255574328462,274,653698.1825424392,920.9238311665903,1999.9999999999998,90.0
2.615,255.23,90.0,0.0,0,1353,8.333884706164248,265,604678.282137624,15599.886367131177,1999.9999999999998,90.0
2.622,286.34,90.0,0.0,0,1383,4.5400397602020135,133,465218.66773252573,34088.87417263609,1999.9999999999998,90.0
2.63,344.35,90.0,0.0,0,1423,-0.27232456173910435,50,271072.4748196647,39162.42011513055,1999.9999999999998,90.0
2.635,403.24,90.0,0.0,0,1411,-1.8289550788424123,35,86381.99168678177,34191.99292298242,1999.9999999999998,90.0
2.645,458.61,90.0,0.0,0,1332,-4.346748641364307,165,-64000.260349771626,23127.455118864076,1999.9999999999998,90.0
2.654,513.63,90.0,0.0,0,1227,-6.066842570658682,193,-182587.52199046395,5227.212725546528,1999.9999999999998,90.0
